level_0	index	SITEID	DESKTOP_MANUF	OTHER_DESKTOPS	LAPTOP_MANUF	OTHER_LAPTOPS	DESKTOP_VIRTUALIZATION_MANUF	WORKSTATION_MANUF	OTHER_WORKSTATIONS	SERVER_MANUF	SERVER_SERIES	OTHER_SERVERS	OS_MANUF	OS_MODEL	OTHER_OS	SERVER_VIRTUALIZATION_MANUF	NETWORK_PRINTER_MANUF	OTHER_NETWORK_PRINTERS	HIGHVOLUME_PRINTER_MANUF	COPIER_MANUF	UPS_MANUF	DAS_MANUF	NAS_MANUF	SAN_MANUF	TAPE_LIBRARY_MANUF	STORAGE_VIRTUALIZATION_MANUF	STORAGE_MGMT_SW_MANUF	PBX_MANUF	VOIP_MANUF	VOIP_HOSTING	UNIFIED_COMM_SERVICES_MANUF	LONG_DISTANCE_CARRIER	HANDSET_SMARTPHONE_MANUF	HANDSET_SMARTPHONE_OS	CELL_SERVICES_PROVIDER	PBX_MAINT_PROVIDER	MOBILITY_CONTRACT_EXPIRE	NETWORK_LINE_CARRIER	VIDEO_CONF_SERVICES_MANUF	ROUTER_MANUF	SWITCH_MANUF	VPN_MANUF	ISP_PROVIDER	NETWORK_SERVICES_PROVIDER	HOST_REMOTE	ETHERNET_TECH	VPN_CONTRACT_EXPIRE	ASSET_MGMT_SW_MANUF	ENTERPRISE_MGMT_SW_MANUF	IDACCESS_SW_MANUF	APPLICATION_SERVER_SW_MANUF	BUSINESS_INTEL_SW_MANUF	COLLABORATIVE_SW_MANUF	CRM_SW_MANUF	DOC_MGMT_SW_MANUF	APP_CONSOLIDATION_SW_MANUF	ERP_SW_MANUF	ACCOUNTING_SW_MANUF	HUMAN_RES_SW_MANUF	SUPPLY_CHAIN_SW_MANUF	WEB_PORTAL_SW_MANUF	DBMS_MANUF	DATAWAREHOUSE_SW_MANUF	SW_AS_A_SERVICE_ERP_MANUF	SW_AS_A_SERVICE_CRM_MANUF	SW_AS_A_SERVICE_STORAGE_MANUF	SW_AS_A_SERVICE_EMAIL_MANUF	SW_AS_A_SERVICE_OTHER_MANUF	EMAIL_MESSAGING_SW_MANUF	DEVELOPMENT_SW_TOOL	ANTIVIRUS_SW_MANUF	ECOMMERCE_TYPE
263619	263619	208026120											LINUX	Linux	Yes		HP						Synology																												APACHE																		Dovecot			
263621	263621	208026123																																																																						
263622	263622	208026125											LINUX	Linux 3.2	Yes																																														WordPress	Oracle							Dovecot			
263632	263632	208026176											Cisco	Cisco IOS	Yes												F5-NETWORKS													Cisco	Cisco																		Jobvite			Google						Pardot		KenticoSoft	Proofpoint	
263633	263633	208026177															HP																							Cisco	Cisco										APACHE																		Dovecot			
263634	263634	208026178											Microsoft	Xbox			HP																																		APACHE										WordPress	Google					ConstntCont		ConstntCont			
263646	263646	208026197															HP																							Cisco	Cisco										APACHE										WordPress	Oracle						Microsoft	EXIM			
263647	263647	208026201																																																																						
263648	263648	208026202																																																																						
263649	263649	208026203															HP																							Cisco	Cisco										APACHE										WordPress								EXIM			
263651	263651	208026225											IBM	OS2													F5-NETWORKS													Cisco	Cisco																															
263652	263652	208026226																																																																						
263653	263653	208026229																																																																						
263654	263654	208026230																																																																						
263656	263656	208026232																																						Cisco	Cisco																															
263658	263658	208026241																																																																						
263659	263659	208026244					HP						OpenBSD	OS																																		AVTECH			HAProxy																		EXIM	COMPILER		
263671	263671	208026287											Apache-Soft	Tomcat	Yes																									Cisco	Cisco										APACHE											Google						Microsoft	Microsoft	Akamai		
263675	263675	208026304											LINUX	Linux 3.2	Yes									HP																											APACHE																					
263677	263677	208026315											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS											APACHE										WordPress	Oracle						Microsoft	Dovecot	COMPILER		
263678	263678	208026317											Cisco	Cisco IOS																										Cisco	Cisco														Amazon							Google								CrazyEgg		
263679	263679	208026318																																																																						
263680	263680	208026323																																																																						
263681	263681	208026324																																																																						
263682	263682	208026325																																																																						
263683	263683	208026329											LINUX	Linux 3.10	Yes								Synology																												APACHE										WordPress								EXIM			
263684	263684	208026333											Microsoft	ASP.NET	Yes																									Cisco	Cisco																				Microsoft											
263685	263685	208026336																																																																						
263686	263686	208026341											Microsoft	Xbox			HP																							LINKSYS											APACHE										WordPress							Microsoft	EXIM	COMPILER		
263687	263687	208026342											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS																					WordPress	PostgreSQL										
263688	263688	208026344																																																																						
263690	263690	208026346											Microsoft	W2008-SERVER	Yes																									Cisco	Cisco																															
263691	263691	208026347											LINUX	Linux 2.6	Yes		LEXMARK																							ASUS																					WordPress	Oracle							Mimecast			
263692	263692	208026348											Microsoft	ASP.NET	Yes		HP																							NETGEAR	Cisco							AVTECH			APACHE																					
263693	263693	208026349																																																																						
263694	263694	208026355																																																																						
263695	263695	208026365																																																																						
263728	263728	208026477											Microsoft	Xbox	Yes		HP																							MikroTik											APACHE				Amazon																	
263735	263735	208026491											Microsoft	Xbox	Yes		HP																							Slingbox											APACHE										WordPress							Microsoft		COMPILER		
263736	263736	208026492																																																																						
263737	263737	208026495																																																																						
263738	263738	208026498											LINUX	Linux 2.6	Yes																									Cisco	Cisco																													OpenResty		
263739	263739	208026501																																																	APACHE																	Microsoft				
263742	263742	208026511																																																																						
263743	263743	208026512																																																																						
263744	263744	208026515											Microsoft	ASP.NET	Yes																									Cisco	Cisco																				Microsoft											
263745	263745	208026522											IBM	OS2	Yes		BROTHER	Yes			APC																			MikroTik												Microsoft			Worldox		Microsoft	Sage	Bullhorn									Microsoft	EXIM	Wufoo		
263750	263750	208026529																																																																						
263763	263763	208026587																																																																						
263764	263764	208026588											Microsoft	W2008-SERVER	Yes	Adobe																								Cisco	Cisco																														Proofpoint	
263772	263772	208026610																																																																						
263773	263773	208026611											LINUX	Linux 3.2	Yes																									ASUS											APACHE																		EXIM			
263781	263781	208026627											LINUX	Linux 2.6	Yes												EMC													MikroTik												Oracle	IBM	Salesforce				Vertex	iCIMS	IBM	Microsoft	Apache-Soft			Salesforce			Vertex	Microsoft	Akamai	Proofpoint	
263791	263791	208026667											LINUX	Linux 3.5	Yes																									ASUS											APACHE																		Qpopper	Wufoo		
263806	263806	208026716											Oracle	EJB	Yes	VMware	LEXMARK						IBM						Cisco	Cisco										ASUS								HP				Jaspersoft	Moxie Soft	Salesforce	HP		AGRESSO		Oracle		Microsoft	Microsoft			Salesforce			Atlassian		VMware	CyberArk	
263809	263809	208026726											Microsoft	ASP.NET	Yes																									Cisco	Cisco																				Microsoft											
263810	263810	208026730																																																																						
263820	263820	208026760											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS											APACHE																		POSTFIX			
263831	263831	208026780											LINUX	Linux 3.5	Yes									HP																											APACHE	Microsoft									WordPress	Oracle							Dovecot	COMPILER		
263833	263833	208026783											Apache-Soft	Tomcat	Yes																									Dell	Cisco														Amazon				ADP									Pardot		COMPILER	Microsoft	
263838	263838	208026795											IBM	OS2													F5-NETWORKS													Cisco	Cisco																											Microsoft				
263853	263853	208026821																																																																						
263854	263854	208026823																																																																						
263855	263855	208026824											LINUX	Linux 2.6	Yes																									MikroTik	Cisco										APACHE								Meta4		Microsoft	Microsoft						Microsoft				
263857	263857	208026831																																																											WordPress								Dovecot	COMPILER		
263861	263861	208026848																																																																						
263869	263869	208026869											LINUX	Linux 2.6	Yes																									MikroTik											APACHE																			COMPILER		
263874	263874	208026881											Microsoft	ASP.NET	Yes																																							Salesforce							Microsoft	Google			Salesforce			Microsoft	Microsoft	KenticoSoft	Microsoft	
263875	263875	208026882											Oracle	Java	Yes																																					Microsoft		Salesforce			Microsoft		Kronos			Microsoft			Salesforce			Microsoft		Atlassian	Proofpoint	
263877	263877	208026886											LINUX	Linux	Yes								Synology																												APACHE																		EXIM			
263878	263878	208026889											OpenBSD	OS	Yes																									Dell	Cisco																															
263882	263882	208026896																																																																						
263883	263883	208026897											Microsoft	Xbox			HP																							Slingbox											APACHE								ADP			Oracle							EXIM			
263896	263896	208026928											IBM	OS2																										MikroTik	Cisco																											Webtrends			TRUSTe	
263898	263898	208026931											OpenSource	CentOS	Yes		HP																							MikroTik											APACHE																				OpenSSL	
263906	263906	208026955																																																																						
263907	263907	208026958											Microsoft	Xbox	Yes		HP																							SMC											APACHE										WordPress							Microsoft				
263915	263915	208026982											Microsoft	Xbox			HP																																		APACHE											Oracle							EXIM			
263916	263916	208026983																																																																						
263917	263917	208026990											Cisco	Cisco IOS	Yes																			APPLE						Cisco	Cisco										APACHE																					
263927	263927	208027021											IBM	AIX																																					APACHE										WordPress							Microsoft	Dovecot	COMPILER		
263928	263928	208027026											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS																						PostgreSQL										
263929	263929	208027031											OpenGroup	Unix																																					APACHE																			COMPILER	OpenSSL	
263935	263935	208027038											Microsoft	Xbox			HP																																		APACHE										WordPress								EXIM			
263944	263944	208027056											Microsoft	W2012-server	Yes																									Cisco	Cisco																											Microsoft				
263949	263949	208027070											IBM	AIX	Yes	IBM																								Cisco	Cisco										APACHE										WordPress	Oracle							Dovecot	IBM		
263958	263958	208027092											LINUX	Linux 2.4	Yes																									MikroTik																						Google										
263959	263959	208027093					TeamViewer						OpenBSD	OS			HP																																		APACHE											Google						Microsoft		CrazyEgg		
263967	263967	208027115											IBM	OS2																										MikroTik	Cisco																															
263975	263975	208027137																																																																						
263978	263978	208027142																																																																						
263980	263980	208027146											LINUX	Linux 2.6	Yes																																				APACHE											Oracle										
263981	263981	208027148																																																																						
263989	263989	208027173																																																																						
264020	264020	208027245																																																	APACHE				Amazon																	
264024	264024	208027261																																																	APACHE										WordPress	Google								COMPILER		
264027	264027	208027275											LINUX	Linux 2.6	Yes	BMC																								MikroTik												TableauSoft	Moxie Soft		Amazon		EMC		WORKDAY		Microsoft	Microsoft						WORKDAY	SendGrid	Akamai	Microsoft	
264032	264032	208027289							Yes				Microsoft	Xbox	Yes		HP										F5-NETWORKS													HP															Amazon																	
264039	264039	208027302								SUN	SERVER	Yes	Oracle	Linux	Yes	Oracle	HP				APC		HP				EMC		Avaya	Avaya										F5-NETWORKS	Cisco																BWISE		Oracle		Microsoft	SAP				EVAULT		ServiceNow	Microsoft	Atlassian	IBM	
264053	264053	208027336							Yes				LINUX	Linux 2.6	Yes		HP																							HP																						Oracle										
264062	264062	208027359											Cisco	Cisco IOS	Yes																									Cisco											APACHE										WordPress											
264072	264072	208027382											Microsoft	Xbox			HP																							Slingbox											APACHE										WordPress								Dovecot	COMPILER		
264073	264073	208027383											LINUX	Linux 3	Yes																																				APACHE																	Microsoft	NetWin			
264076	264076	208027386											LINUX	Linux 2.6	Yes		LEXMARK																							ASUS											APACHE											Oracle							Dovecot			
264078	264078	208027391																																																																						
264109	264109	208027450											Cisco	Cisco IOS	Yes												F5-NETWORKS													Cisco	Cisco																															
264142	264142	208027531											LINUX	Linux 2.6	Yes		HP																							SMC											APACHE																			Akamai	OpenSSL	
264144	264144	208027541																																																																						
264157	264157	208027592																																																																						
264168	264168	208027618											OpenBSD	OS	Yes		HP	Yes																						NETGEAR											APACHE										WordPress								EXIM			
264175	264175	208027632											Oracle	EJB	Yes																									ASUS											APACHE		Oracle									Microsoft										
264176	264176	208027634											LINUX	Linux 2.6	Yes																									Cisco	Cisco										APACHE																					
264178	264178	208027636																																																																						
264182	264182	208027645											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS											APACHE											Oracle							EXIM	COMPILER		
264232	264232	208027761																									F5-NETWORKS																																									Microsoft				
264234	264234	208027769											Cisco	Cisco IOS																										Cisco	Cisco																											Microsoft	Microsoft	OpenResty		
264235	264235	208027770																																																																						
264238	264238	208027781											LINUX	Linux 4.0	Yes																																				APACHE										WordPress	Oracle						Microsoft	EXIM			
264240	264240	208027785											Microsoft	ASP.NET	Yes																																																									
264242	264242	208027791																									F5-NETWORKS																																													
264243	264243	208027792											LINUX	Linux 3.0	Yes									HP																											APACHE										WordPress	Oracle						Microsoft	EXIM			
264248	264248	208027805											Cisco	Cisco IOS	Yes		HP																							Cisco	Cisco										APACHE																		Qmail	COMPILER		
264250	264250	208027810																																																																						
264251	264251	208027812											LINUX	Linux 2.6	Yes																																				APACHE																			COMPILER		
264257	264257	208027823											LINUX	Linux 2.6	Yes																									AVM											APACHE											Oracle						Microsoft	EXIM	COMPILER		
264258	264258	208027824											IBM	OS2	Yes																									Cisco	Cisco																				WordPress	Sybase						Atlassian		COMPILER		
264261	264261	208027828											LINUX	Linux 3	Yes								Synology																												APACHE																	Microsoft	EXIM	COMPILER		
264263	264263	208027831																																																	APACHE										WordPress											
264273	264273	208027849											Microsoft	Xbox			HP																																		APACHE																		Dovecot			
264280	264280	208027867											LINUX	Linux 2.4	Yes																									ASUS																												Microsoft	Qmail			
264281	264281	208027870																																																																						
264282	264282	208027875											Microsoft	Xbox	Yes		HP																							SMC																											ConstntCont		ConstntCont	COMPILER		
264283	264283	208027876											Microsoft	Xbox			HP																																		APACHE										WordPress								EXIM			
264284	264284	208027880																																																																						
264285	264285	208027884											Microsoft	Xbox															Avaya	Avaya												JUNIPER									APACHE																		Dovecot			
264286	264286	208027886											Microsoft	Xbox			HP												Avaya	Avaya										Slingbox		JUNIPER									APACHE										WordPress								Dovecot	COMPILER		
264288	264288	208027890																																																																						
264295	264295	208027910																																																																						
264298	264298	208027921											Microsoft	Xbox			HP																							Slingbox											APACHE										WordPress								EXIM			
264300	264300	208027925											Microsoft	Xbox			HP																																		APACHE										WordPress	Oracle										
264305	264305	208027938											Microsoft	Xbox			HP																																		APACHE											Oracle							EXIM	COMPILER	OpenSSL	
264308	264308	208027949											Cisco	Cisco IOS																										Cisco	Cisco										APACHE						Sage												Dovecot	COMPILER		
264309	264309	208027959											OpenSource	CentOS	Yes																									Cisco	Cisco										APACHE										WordPress							Microsoft	Dovecot	COMPILER		
264311	264311	208027961											LINUX	Linux 2.6	Yes		HP	Yes																						Cisco	Cisco																				WordPress	Google								COMPILER		
264316	264316	208027974											Cisco	Cisco IOS																										Cisco	Cisco										APACHE										WordPress	Oracle							EXIM			
264318	264318	208027981											LINUX	Linux 2.6	Yes																									MikroTik	Cisco		INTERCOM																									Microsoft	Microsoft			
264333	264333	208028035											Cisco	Cisco IOS	Yes																									Cisco	Cisco																															
264334	264334	208028036											Microsoft	Xbox			HP																							Slingbox																					WordPress	Oracle							Dovecot	COMPILER		
264345	264345	208028071											LINUX	Linux 3	Yes								Synology																																							Oracle							EXIM			
264356	264356	208028092											LINUX	Linux 2.6	Yes		HP																																		APACHE										WordPress	Google							EXIM			
264357	264357	208028093										Yes	IBM	z-OS	Yes	Microsoft	LEXMARK						IBM																AXIS	IBM	Cisco							Oracle			APACHE	Crimson Hex	Apigee	PegaSys	Microsoft		SAP	INTUIT	SAP	JDA-SFTWR	Microsoft	Oracle			Salesforce			HearsaySoc	EXPERIAN	Oracle	WEBSENSE	
264366	264366	208028114																																																																						
264368	264368	208028122											IBM	OS2																										Cisco	Cisco										APACHE										WordPress	Oracle										
264370	264370	208028124											Microsoft	Xbox			HP																							Slingbox											Varnish Sof											Google										
264375	264375	208028147																																																																						
264377	264377	208028150											Microsoft	Xbox			HP																																		APACHE																		EXIM			
264378	264378	208028151																																																																						
264381	264381	208028157																																																																						
264385	264385	208028169											Microsoft	Xbox	Yes		HP																							SMC											Varnish Sof				Amazon						WordPress	Google						Microsoft		nextopia		
264386	264386	208028170											LINUX	Linux 4.2	Yes									HP																ASUS											APACHE																		Dovecot	COMPILER		
264387	264387	208028172											LINUX	Linux 3	Yes		HP	Yes			APC		Synology																	Cisco	Cisco										Varnish Sof										WordPress	Oracle						Microsoft	EXIM			
264389	264389	208028174											Oracle	Java																																					APACHE										WordPress	Google						Microsoft				
264396	264396	208028186																																																																						
264401	264401	208028200				Yes							Microsoft	ASP.NET																																																										
264402	264402	208028201											Cisco	Cisco IOS																										Cisco	Cisco																				WordPress							Microsoft		OpenResty		
264403	264403	208028202																																																											WordPress							Microsoft				
264404	264404	208028203											LINUX	Linux 3.2	Yes									HP																											APACHE											Oracle							EXIM			
264406	264406	208028208											Microsoft	Xbox																																																							GODADDY			
264412	264412	208028220											LINUX	Linux 2.4	Yes		LEXMARK																							MikroTik											APACHE											Google										
264417	264417	208028231											LINUX	Linux 2.6	Yes																									MikroTik											APACHE																			Formstack		
264423	264423	208028249																																																																						
264424	264424	208028261											LINUX	Linux 2.6																																					APACHE											Google							GODADDY			
264429	264429	208028270																																																																						
264431	264431	208028273																																																																						
264433	264433	208028279											LINUX	Linux 2.4																																					APACHE											Oracle							Dovecot	COMPILER		
264437	264437	208028293											Cisco	Cisco IOS																										Cisco	Cisco																															
264445	264445	208028311											Microsoft	Xbox	Yes		HP																																		APACHE																		1and1			
264450	264450	208028320											LINUX	Linux 4.4	Yes								Synology																												APACHE																		Dovecot			
264455	264455	208028348																																																																						
264466	264466	208028378											Cisco	Cisco IOS																										Dell	Cisco										APACHE																	Microsoft	EXIM			
264475	264475	208028410																																																																						
264476	264476	208028413																																																																						
264478	264478	208028418											Microsoft	Xbox			HP																							Slingbox											APACHE																		Dovecot			
264479	264479	208028429											Microsoft	Xbox			HP	Yes																																	APACHE																		EXIM			
264482	264482	208028436																																																																						
264487	264487	208028449																																																																						
264489	264489	208028453																																																																						
264492	264492	208028463																																																																						
264493	264493	208028470																																																																						
264499	264499	208028505											IBM	OS2	Yes		HP																							SMC																																
264504	264504	208028527											LINUX	Linux 4	Yes		LEXMARK																							ASUS																					WordPress	Google						Microsoft				
264509	264509	208028553											LINUX	Linux 3.4	Yes																																				APACHE											Oracle							Dovecot			
264510	264510	208028561																																																																						
264511	264511	208028562																																																																						
264518	264518	208028602																																																																						
264523	264523	208028621											LINUX	Linux 4	Yes																																				APACHE											Oracle						Microsoft				
264526	264526	208028635											Microsoft	Xbox																																								Salesforce								Google			Salesforce			Salesforce				
264528	264528	208028637											Microsoft	Xbox			HP																							Slingbox											APACHE										WordPress								Dovecot			
264531	264531	208028648																																																																						
264532	264532	208028651											LINUX	Linux 2.6	Yes																									ASUS																												Microsoft				
264534	264534	208028656											LINUX	Linux 3	Yes								Synology																												APACHE																		NetWin			
264537	264537	208028663											LINUX	Linux 3.10	Yes									HP																MikroTik											APACHE											Oracle							EXIM			
264539	264539	208028665																																																																						
264540	264540	208028669											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS																						Oracle						Microsoft	NetWin	COMPILER		
264546	264546	208028675																																																																						
264548	264548	208028681																																																																						
264549	264549	208028684											LINUX	Linux 4.0	Yes																																				APACHE											Google							EXIM	COMPILER	OpenSSL	
264550	264550	208028685											Microsoft	W2008-SERVER	Yes																																				APACHE										WordPress							Microsoft				
264551	264551	208028686											LINUX	Linux 2.6	Yes																									MikroTik	Cisco										APACHE																					
264553	264553	208028689											IBM	OS2													F5-NETWORKS													Cisco	Cisco																															
264576	264576	208028768											Microsoft	Xbox			HP																							Slingbox											APACHE										WordPress	Oracle							EXIM			
264577	264577	208028769											LINUX	Linux 3.8	Yes	VMware	LEXMARK	Yes					EMC	HP																AVM	Cisco										APACHE		Smartsheet				IBM		SAP		Microsoft	Oracle						IBM	EXIM	Adobe	Proofpoint	
264578	264578	208028773											Cisco	Cisco IOS																										Cisco	Cisco																													OpenResty		
264580	264580	208028775											LINUX	Linux 2.6	Yes		LEXMARK																							ASUS											APACHE										WordPress	Oracle						Microsoft	EXIM			
264581	264581	208028780											Cisco	Cisco IOS																										Dell	Cisco										APACHE																		EXIM			
264589	264589	208028800																																																	APACHE																					
264590	264590	208028804											LINUX	Linux 3	Yes									HP																											APACHE																		POSTFIX			
264593	264593	208028807											Microsoft	Xbox	Yes		HP																							SMC											APACHE										WordPress											
264595	264595	208028812											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS											APACHE											Oracle							Plesk			
264598	264598	208028819											LINUX	Linux 2.6	Yes		LEXMARK																							Cisco	Cisco										APACHE										WordPress	Oracle							NetWin	COMPILER		
264600	264600	208028824																																																																						
264601	264601	208028825																																																												Oracle										
264604	264604	208028836																																																																						
264613	264613	208028858											Microsoft	Xbox			HP																							Slingbox											APACHE											Oracle							EXIM			
264614	264614	208028865											Microsoft	Xbox																										MikroTik											APACHE										WordPress							Microsoft	GODADDY			
264615	264615	208028868																																																																						
264616	264616	208028870											Oracle	Java			LEXMARK																							MikroTik											APACHE											Google										
264620	264620	208028879											Microsoft	Xbox	Yes		HP																							SMC																						Google										
264621	264621	208028881											Microsoft	W2012-server																																																										
264622	264622	208028882																																																																						
264623	264623	208028883											SAMSUNG	AllShare																																																						Microsoft				
264630	264630	208028925							Yes				Microsoft	Xbox			BROTHER	Yes											Aastra	Aastra										HP											APACHE																					
264636	264636	208028943											Microsoft	ASP.NET		Adobe																																														Google						Microsoft				
264637	264637	208028944											Cisco	Cisco IOS																										Cisco	Cisco										APACHE																		1and1	COMPILER		
264639	264639	208028946																																																																						
264641	264641	208028954																																																	APACHE																					
264642	264642	208028961																																																	APACHE										WordPress											
264646	264646	208028972																																																																						
264647	264647	208028974											IBM	OS2	Yes		HP	Yes																						NETGEAR											APACHE																			COMPILER		
264651	264651	208028983											IBM	OS2																										MikroTik	Cisco																												EXIM			
264652	264652	208028988																																																																						
264660	264660	208029015																																																																						
264661	264661	208029017																																																																						
264668	264668	208029035																																																																						
264672	264672	208029051											Oracle	Java	Yes	Adobe											Symantec													Cisco	Cisco											Alteryx							iCIMS			Apache-Soft						Brightcove		COMPILER	Microsoft	
264676	264676	208029060											Cisco	Cisco IOS			HP																							Cisco	Cisco																				WordPress	Oracle							Dovecot			
264680	264680	208029078											Microsoft	Xbox	Yes		HP																							SMC																																
264682	264682	208029082											LINUX	Linux 3.10	Yes									HP																																						Oracle							Dovecot			
264683	264683	208029085																																																																						
264688	264688	208029094																																																												Google										
264691	264691	208029105											Microsoft	ASP.NET																										Cisco	Cisco																															
264692	264692	208029107											Microsoft	Xbox			HP																							Slingbox											APACHE																		Dovecot		OpenSSL	
264697	264697	208029122																									F5-NETWORKS																																													
264699	264699	208029125											Cisco	Cisco IOS	Yes																									Cisco	Cisco										APACHE			Salesforce								Google			Salesforce						OpenSSL	
264701	264701	208029131											Microsoft	Xbox			HP																																		APACHE																	Microsoft				
264704	264704	208029139											IBM	OS2	Yes																									Cisco	Cisco																											Microsoft		Amazon		
264706	264706	208029141															HP																							NETGEAR											APACHE																		1and1			
264707	264707	208029144											LINUX	Linux 2.4	Yes	VMware							Nutanix				EMC		Cisco	Cisco				Google						HP	Cisco										APACHE	SAP	Mulesoft	Salesforce	Dropbox		SYSPRO	SAP	iCIMS	LLamasoft	Microsoft	MongoDB			Salesforce			Dropbox	Microsoft	COMPILER	Symantec	
264744	264744	208029228											LINUX	Linux 2.6	Yes																																				APACHE																	Microsoft		COMPILER	OpenSSL	
264748	264748	208029241											OpenSource	Linux	Yes	VMware	LEXMARK																																		APACHE										Microsoft	MongoDB								Jenkins	Microsoft	
264753	264753	208029259																																																																						
264770	264770	208029309											Microsoft	Xbox			HP																							Slingbox											APACHE																					
264797	264797	208029367											Cisco	Cisco IOS			HP																							Cisco	Cisco										APACHE										WordPress	Oracle							EXIM			
265402	265402	208031485																																																																						
264861	264861	208029552																																																																						
264865	264865	208029561											IBM	OS2	Yes		HP																							SMC																						Google										
264908	264908	208029636											Microsoft	W2012-server	Yes																																														WordPress									COMPILER		
264909	264909	208029637											Microsoft	Xbox			HP																							Slingbox											APACHE											Google						Microsoft	EXIM	Angular		
264910	264910	208029640																																																																						
264915	264915	208029648				Yes							Microsoft	ASP.NET	Yes																																				APACHE										WordPress	Google						Microsoft		COMPILER	THAWTE	
264919	264919	208029662											LINUX	Linux 2.6	Yes		LEXMARK																							ASUS											APACHE			Salesforce							WordPress				Salesforce				POSTFIX			
264933	264933	208029694																																																																						
264935	264935	208029700																																																																						
264938	264938	208029705																																																																						
264940	264940	208029708											Microsoft	ASP.NET																																																Google									Proofpoint	
264951	264951	208029733																																																																						
264952	264952	208029734																																																																						
264953	264953	208029736																									F5-NETWORKS																																													
264955	264955	208029739											LINUX	Linux 4.2	Yes																									ASUS											APACHE																		EXIM			
264957	264957	208029747											LINUX	Linux 4	Yes								Synology																												APACHE										WordPress	Oracle							EXIM		OpenSSL	
264960	264960	208029758											LINUX	Linux 2.6	Yes		LEXMARK																							D-LINK											APACHE										WordPress	Oracle							EXIM			
264962	264962	208029762											IBM	OS2																										Cisco	Cisco										APACHE										WordPress							Microsoft		COMPILER		
264982	264982	208029818																																																																						
264992	264992	208029830																																																																						
265002	265002	208029857															HP																																																							
265006	265006	208029871																																																																						
265009	265009	208029885											LINUX	Linux 2.4	Yes																																				APACHE				Amazon						WordPress	Google						Microsoft		COMPILER		
265021	265021	208029911											Microsoft	ASP.NET	Yes	VMware																								Cisco	Cisco										HAProxy				Dropbox				Bullhorn			Google						Spredfast		Angular		
265022	265022	208029913				Yes							Microsoft	W2008-SERVER	Yes																																																									
265023	265023	208029915							Yes				OpenSource	RProject	Yes		HP										EMC													HP											APACHE								iCIMS		WordPress							Oracle	Mimecast			
265046	265046	208029979											Microsoft	ASP.NET	Yes																									MikroTik																																
265056	265056	208030033											Canonical	Ubuntu	Yes																									Cisco	Cisco										APACHE										WordPress									COMPILER		
265057	265057	208030034											Microsoft	Xbox	Yes		HP																							MikroTik																																
265066	265066	208030214											LINUX	Linux 3.3	Yes																									ASUS											APACHE										WordPress							Microsoft	Qmail	COMPILER		
265072	265072	208030244																																																																						
265107	265107	208030425																																																																						
265109	265109	208030432											Cisco	Cisco IOS			HP																							Cisco	Cisco										APACHE										WordPress	Oracle							EXIM			
265115	265115	208030465																																																																						
265129	265129	208030644																																																																						
265136	265136	208030665											LINUX	Linux 2.6	Yes		HP																							Slingbox											APACHE																	Microsoft	Dovecot			
265162	265162	208030718											Cisco	Cisco IOS																										Cisco	Cisco										APACHE																		EXIM		OpenSSL	
265170	265170	208030734																																																																						
265173	265173	208030738											LINUX	Linux 3	Yes																																				APACHE										WordPress								POSTFIX			
265174	265174	208030740											LINUX	Linux 2.6	Yes		LEXMARK																							ASUS																						Google							EXIM			
265179	265179	208030748											LINUX	Linux 2.6	Yes		LEXMARK																							ASUS																						Oracle						Microsoft	NetWin	COMPILER		
265186	265186	208030769																																																																						
265192	265192	208030785																																																																						
265193	265193	208030786							Yes				Microsoft	Xbox			HP																							LINKSYS	3COM																															
265194	265194	208030787																																																																						
265201	265201	208030803																																																																						
265212	265212	208030838											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS											APACHE											Oracle						Microsoft	EXIM	COMPILER		
265222	265222	208030879																																																																						
265224	265224	208030889																																																																						
265228	265228	208030903																																																																						
265261	265261	208031040																																																																						
265272	265272	208031076											LINUX	Linux 3.10	Yes									HP																											APACHE										WordPress	Google								COMPILER	OpenSSL	
265281	265281	208031090											Cisco	Cisco IOS	Yes																									Cisco											APACHE																	Microsoft				
265282	265282	208031092																																																																						
265283	265283	208031093																																																																						
265294	265294	208031220											Microsoft	Xbox																																															WordPress							Microsoft	Microsoft	COMPILER		
265295	265295	208031222											Microsoft	ASP.NET	Yes		LEXMARK	Yes																						Cisco	Cisco											SAP	Smartsheet	Salesforce			Oracle		iCIMS		Microsoft	Microsoft			Salesforce			Pardot	Salesforce	COMPILER		
265308	265308	208031257											Microsoft	ASP.NET		Adobe																																																				Microsoft				
265323	265323	208031281											Cisco	Cisco IOS													F5-NETWORKS													Cisco	Cisco										APACHE				Amazon							Oracle							EXIM	Angular		
265336	265336	208031294																																																																						
265367	265367	208031397																																																																						
265376	265376	208031417											Microsoft	Xbox			HP																							Slingbox											APACHE										WordPress	Oracle							Dovecot	COMPILER		
265381	265381	208031432																																																																						
265386	265386	208031453																																																																						
265387	265387	208031454											LINUX	Linux 2.6	Yes												F5-NETWORKS													MikroTik																																
