level_0	index	SITEID	DESKTOP_MANUF	OTHER_DESKTOPS	LAPTOP_MANUF	OTHER_LAPTOPS	DESKTOP_VIRTUALIZATION_MANUF	WORKSTATION_MANUF	OTHER_WORKSTATIONS	SERVER_MANUF	SERVER_SERIES	OTHER_SERVERS	OS_MANUF	OS_MODEL	OTHER_OS	SERVER_VIRTUALIZATION_MANUF	NETWORK_PRINTER_MANUF	OTHER_NETWORK_PRINTERS	HIGHVOLUME_PRINTER_MANUF	COPIER_MANUF	UPS_MANUF	DAS_MANUF	NAS_MANUF	SAN_MANUF	TAPE_LIBRARY_MANUF	STORAGE_VIRTUALIZATION_MANUF	STORAGE_MGMT_SW_MANUF	PBX_MANUF	VOIP_MANUF	VOIP_HOSTING	UNIFIED_COMM_SERVICES_MANUF	LONG_DISTANCE_CARRIER	HANDSET_SMARTPHONE_MANUF	HANDSET_SMARTPHONE_OS	CELL_SERVICES_PROVIDER	PBX_MAINT_PROVIDER	MOBILITY_CONTRACT_EXPIRE	NETWORK_LINE_CARRIER	VIDEO_CONF_SERVICES_MANUF	ROUTER_MANUF	SWITCH_MANUF	VPN_MANUF	ISP_PROVIDER	NETWORK_SERVICES_PROVIDER	HOST_REMOTE	ETHERNET_TECH	VPN_CONTRACT_EXPIRE	ASSET_MGMT_SW_MANUF	ENTERPRISE_MGMT_SW_MANUF	IDACCESS_SW_MANUF	APPLICATION_SERVER_SW_MANUF	BUSINESS_INTEL_SW_MANUF	COLLABORATIVE_SW_MANUF	CRM_SW_MANUF	DOC_MGMT_SW_MANUF	APP_CONSOLIDATION_SW_MANUF	ERP_SW_MANUF	ACCOUNTING_SW_MANUF	HUMAN_RES_SW_MANUF	SUPPLY_CHAIN_SW_MANUF	WEB_PORTAL_SW_MANUF	DBMS_MANUF	DATAWAREHOUSE_SW_MANUF	SW_AS_A_SERVICE_ERP_MANUF	SW_AS_A_SERVICE_CRM_MANUF	SW_AS_A_SERVICE_STORAGE_MANUF	SW_AS_A_SERVICE_EMAIL_MANUF	SW_AS_A_SERVICE_OTHER_MANUF	EMAIL_MESSAGING_SW_MANUF	DEVELOPMENT_SW_TOOL	ANTIVIRUS_SW_MANUF	ECOMMERCE_TYPE
258855	258855	208001062											LINUX	Linux 2.6	Yes		HP	Yes																						F5-NETWORKS	Cisco										APACHE																					
258858	258858	208001070											IBM	OS2	Yes		HP																							Cisco													Oracle	Salesforce					Ulti Soft			Tealium			Salesforce			Salesforce	Salesforce	COMPILER		
258860	258860	208001081																																																	APACHE																					
258863	258863	208001088						IBM		IBM	XSERIES		IBM	OS2																										Cisco	Cisco																															
258866	258866	208001091								IBM	INTEL-SERVER		LINUX	Linux 2.1																																																										
258867	258867	208001093											OpenGroup	Unix	Yes	VMware																								AristaNet											APACHE			Salesforce	Amazon		Microsoft		iCIMS			Google			Salesforce			Ulti Soft		CrazyEgg	Cisco	
258875	258875	208001136											Microsoft	Windows 10	Yes	Apache-Soft																								Cisco												TableauSoft	Microsoft				Sage		WORKDAY	AspenTech	Microsoft	Informatica						Aconex	Microsoft	COMPILER	Proofpoint	
258880	258880	208001174						IBM		IBM	NETFINITY		LINUX	Linux 2.6	Yes																									F5-NETWORKS	Cisco										APACHE						Microsoft												Microsoft			
258886	258886	208001195											IBM	OS2	Yes																									Cisco	Cisco																											Microsoft				
258888	258888	208001216											IBM	OS2	Yes																									Cisco											APACHE				Amazon													Citrix	Salesforce	COMPILER		
258891	258891	208001257								IBM	ES-9000																																																													
258893	258893	208001263															HP	Yes																																	APACHE		IBM				Oracle				Microsoft	Google						Microsoft	Microsoft		Proofpoint	
258896	258896	208001289											RED-HAT	ENTLinuxSrvr	Yes	VMware							IBM																	Cisco	Cisco											Microsoft	IBM				Software-ag		SAP	SAP	Microsoft	Hortonworks						CORNERSTONE	Microsoft	SAP	Microsoft	
258897	258897	208001312											IBM	OS2	Yes																									Cisco	Cisco																				Microsoft											
258904	258904	208001348								IBM	XSERIES		Microsoft	ASP.NET																										MikroTik								AVTECH			APACHE								Oracle			Google						Microsoft		KenticoSoft		
258905	258905	208001368								IBM	ES-9000		LINUX	Linux 2.4	Yes		HP																							Slingbox											APACHE																		Dovecot			
258908	258908	208001392											LINUX	Linux 3.16	Yes	VMware																								Cisco	Cisco											TableauSoft	Mulesoft				Anaplan		CORNERSTONE	SAP	Microsoft	Apache-Soft						CORNERSTONE		Docker		
