level_0	index	SITEID	IT_BUDGET	HARDWARE_BUDGET	PC_BUDGET	SERVER_BUDGET	TERMINAL_BUDGET	PRINTER_BUDGET	OTHER_HARDWARE_BUDGET	STORAGE_BUDGET	COMM_BUDGET	SOFTWARE_BUDGET	SERVICES_BUDGET
231655	231655	208049120	69189	3443	2156	121	0	471	0	200	1750	7403	29813
231667	231667	208392433	527696	41653	30318	0	0	4090	0	2752	32519	166175	183677
231677	231677	208396035	48977	2930	1389	823	302	257	559	159	1719	8140	12877
231678	231678	208397048	38223	2287	1084	642	236	200	436	124	1342	6352	10050
231709	231709	208403638	117610	10211	6732	0	1465	1245	2710	769	5992	28365	44873
231710	231710	208403840	294302	25598	17383	1399	2887	2768	5655	1161	22938	93474	79994
231769	231769	208049333	35871	3114	2053	0	447	380	827	235	1828	8651	13686
231781	231781	208049861	38304	1839	1325	0	211	197	408	106	1334	7075	14710
231811	231811	208051540	125749	8442	4588	287	1632	1500	3132	435	3837	16679	61116
231816	231816	208051699	48233	2577	1579	560	166	136	302	136	2012	10283	11366
231817	231817	208051712	94088	5629	2669	1581	581	494	1075	305	3303	15637	24737
231818	231818	208051721	35283	2111	1001	593	218	185	403	114	1239	5864	9276
231836	231836	208417709	68967	4126	1956	1159	0	362	0	223	2421	11462	18132
231872	231872	208446750	23302	1839	1104	0	0	192	0	264	1436	7338	8111
231934	231934	208052074	28412	2467	1626	0	0	301	0	186	1448	6852	10840
231937	231937	208052158	120931	6623	4528	279	822	770	1592	224	3813	31255	37561
231940	231940	208052218	70566	4222	2002	1186	436	370	806	229	2477	11728	18553
231941	231941	208052306	105849	6333	3002	1779	653	555	1208	343	3716	17591	27829
231949	231949	208052736	38223	2287	1084	642	236	200	436	124	1342	6352	10050
231951	231951	208052824	199347	9296	4439	2863	772	675	1447	547	22973	24268	54795
231952	231952	208052839	64030	5054	3679	0	545	496	1041	334	3946	20163	22287
231953	231953	208052862	57814	3459	2348	138	398	376	774	199	2030	9608	15200
231961	231961	208053588	47044	2815	1334	791	290	247	537	152	1652	7818	12369
231962	231962	208053692	87255	4069	1918	1217	0	290	0	340	10056	10622	23984
231973	231973	208054587	64887	3245	1990	107	462	437	899	249	2106	6956	9042
232169	232169	208056337	461747	24674	15113	5365	1591	1303	2894	1303	19264	98439	108807
232185	232185	208057294	29402	2553	1683	0	366	311	677	192	1498	7091	11218
232186	232186	208057355	281475	16840	7984	4730	1738	1476	3214	912	9882	46779	74004
232199	232199	208057958	30399	2639	1740	0	379	322	701	199	1549	7332	11599
232202	232202	208058118	30295	2635	1466	165	463	430	893	110	2361	9622	8234
232212	232212	208058582	50572	3026	1434	850	312	265	577	164	1775	8405	13296
232217	232217	208058848	47797	3256	2324	0	422	395	817	115	1874	15365	18465
232221	232221	208058947	135500	7689	2992	2628	798	660	1458	611	6022	36231	32576
232236	232236	208059644	34312	2979	1175	0	0	371	0	830	1748	8275	13091
232240	232240	208059915	132375	7511	2923	2567	0	645	0	597	5883	35396	31824
232242	232242	208060010	31755	2757	1818	0	396	336	732	208	1618	7659	12116
232250	232250	208060219	57560	5006	2786	314	880	817	1697	209	4486	18282	15645
232253	232253	208060325	150857	8560	3331	2925	888	735	1623	680	6705	40338	36268
232262	232262	208447036	21571	1448	787	49	280	257	537	75	658	2861	10484
232265	232265	208447142	35518	1776	1325	58	0	171	0	43	1153	3807	4949
232266	232266	208447157	24994	1200	938	0	0	98	0	60	870	4616	9598
232267	232267	208447200	24356	1212	759	43	174	166	340	70	616	2606	10494
232272	232272	208447324	23880	2073	1466	0	0	235	0	124	1217	5759	9111
232274	232274	208447387	22833	1136	711	40	163	156	319	66	578	2443	9839
232275	232275	208447388	33321	1666	1022	55	237	224	461	128	1081	3572	4643
232280	232280	208447477	21201	2133	1353	0	0	297	0	169	1384	4572	5943
232292	232292	208448090	36828	1842	1130	61	262	248	510	141	1195	3948	5132
232293	232293	208448100	22583	1281	499	438	133	110	243	102	1004	6039	5429
232294	232294	208448104	22132	1256	489	429	130	108	238	100	984	5918	5321
232297	232297	208448209	20582	1787	1178	0	256	218	474	135	1049	4964	7853
232298	232298	208448226	24994	1200	938	0	0	98	0	60	870	4616	9598
