level_0	index	SITEID	IT_BUDGET	HARDWARE_BUDGET	PC_BUDGET	SERVER_BUDGET	TERMINAL_BUDGET	PRINTER_BUDGET	OTHER_HARDWARE_BUDGET	STORAGE_BUDGET	COMM_BUDGET	SOFTWARE_BUDGET	SERVICES_BUDGET
49625	49625	202082488	42221	3666	2417	0	526	447	973	276	2151	10183	16109
78240	78240	206017143	2352958	167542	120897	8568	16183	16183	32366	5712	192004	433686	965986
89217	89217	202079140	135054	7217	4420	1569	465	381	846	381	5634	28792	31824
110729	110729	202097686	82819	6459	5057	0	601	601	1202	200	7402	16719	37239
126553	126553	207208675	7820	617	449	0	67	61	128	41	482	2462	2722
134271	134271	207006178	91605704	5341507	3842358	289752	503916	503916	1007832	201566	2823109	17505477	31256666
145920	145920	207074222	3791163	299248	217817	0	32283	29381	61664	19769	233628	1193864	1319605
163597	163597	208001093	377744	38005	24103	0	0	5294	0	3013	24664	81464	105893
163600	163600	208001216	2498493	133511	81773	29028	8608	7051	15659	7051	104234	532649	588749
163603	163603	208001392	39295841	2798062	2098547	119917	0	239834	0	79945	3206592	7242819	16132556
163609	163609	208002352	870930	75752	54271	3188	8273	7894	16167	2125	67879	276618	236727
163674	163674	208003167	645327	34484	9749	18241	0	1693	0	2328	26922	137576	152066
163677	163677	208004347	296405	14087	8213	2092	1372	1372	2744	1038	9426	47655	151136
163678	163678	208004536	301956	18065	12264	722	2077	1964	4041	1038	10601	50183	79389
163704	163704	208005145	200324	11681	8918	533	0	921	0	291	6174	38281	68352
163736	163736	208005944	1472239	69970	40793	10391	6815	6815	13630	5157	46817	236701	750690
163748	163748	208007038	1203063	60166	44896	1978	0	5783	0	1471	39047	128967	167642
163750	163750	208007445	137296	7791	3032	2662	0	669	0	619	6102	36712	33007
163760	163760	208008003	1716859	102716	48697	28851	0	9005	0	5564	60274	285332	451391
163764	163764	208008576	327914	17523	11001	2409	1630	1484	3114	998	13680	69907	77270
163765	163765	208008822	667184386	39916164	18923846	11211654	4119113	3499463	7618576	2162088	23423077	110882222	175413789
163770	163770	208009391	54292	3248	2173	155	402	375	777	144	1906	9023	14274
163772	163772	208009495	36091	1733	1355	0	151	141	292	86	1257	6666	13860
163784	163784	208009865	70291	4205	1994	1181	434	369	803	228	2468	11682	18481
163798	163798	208010904	173469	15088	9254	496	2148	2033	4181	1157	13520	55096	47151
163799	163799	208010928	83668	4879	3400	148	591	591	1182	148	2578	15989	28548
163800	163800	208010937	18217758	1089928	516724	306139	112474	95554	208028	59037	639577	3027687	4789749
163802	163802	208011153	294025	17591	8340	4941	1815	1542	3357	953	10322	48865	77304
163812	163812	208011733	894636	50911	34857	0	5824	5824	11648	4406	34064	172225	546207
163813	163813	208011757	186354	9320	5716	306	1327	1256	2583	715	6048	19977	25968
163814	163814	208011774	1422933	68508	47792	5377	0	5905	0	2953	19441	432331	247305
163815	163815	208011785	708488	37859	11277	20138	0	1611	0	2417	29557	151041	166949
163816	163816	208011803	209548	14068	7645	478	0	2500	0	724	6394	27794	101844
163817	163817	208011814	83943	4198	2575	138	598	566	1164	322	2724	8999	11697
163819	163819	208011942	288144	17239	8173	4842	1779	1511	3290	934	10116	47888	75758
163820	163820	208011987	105121	8298	6494	0	0	560	0	560	6478	33103	36590
163821	163821	208011993	112590	6736	3193	1892	695	591	1286	365	3953	18712	29602
163822	163822	208012038	622533	29972	20909	2352	0	2583	0	1292	8505	189145	108196
163899	163899	208012549	68098	4849	3556	162	485	485	970	162	5557	12552	27957
163912	163912	208017235	294870	25647	14272	1610	4507	4185	8692	1073	22982	93654	80148
163924	163924	208018577	1117293	66845	31691	18775	6898	5860	12758	3621	39225	185688	293755
163925	163925	208018729	3989739	192088	134004	15076	0	16557	0	8278	54510	1212207	693415
163926	163926	208018741	1553564	83017	23469	43913	0	4076	0	5605	64813	331201	366084
163927	163927	208018812	723044	35980	20941	888	5997	5743	11740	2411	18289	77359	311548
163936	163936	208019601	1762201	105429	71574	4215	12119	11461	23580	6060	61866	292868	463312
164006	164006	208021650	525822	28098	7943	14863	0	1380	0	1897	21937	112099	123905
164013	164013	208021823	143362	8577	4066	2409	0	752	0	465	5033	23826	37692
164024	164024	208022165	269489	16123	7644	4529	0	1414	0	873	9461	44788	70853
164027	164027	208022334	1017453	48847	35194	0	5608	5224	10832	2821	35433	187924	390734
164028	164028	208022357	149504	8483	3301	2899	880	729	1609	674	6645	39976	35942
164031	164031	208022379	33448	2640	1922	0	285	259	544	174	2061	10533	11642
164036	164036	208022617	28003	1589	618	543	165	136	301	126	1245	7488	6732
164048	164048	208023010	278777	13942	10404	458	1399	1340	2739	341	9048	29885	38846
164119	164119	208023590	168421	8423	6285	277	0	810	0	206	5466	18055	23469
164120	164120	208023604	79114	6881	3829	432	1209	1123	2332	288	6166	25128	21504
164121	164121	208023612	574244	49946	33917	2730	0	5401	0	2265	44756	182387	156085
164122	164122	208023616	49539362	2963831	2012097	118504	340699	322182	662881	170349	1739196	8233157	13024716
164124	164124	208023652	68395	3420	2098	112	487	461	948	262	2220	7332	9531
164133	164133	208023861	1504	82	57	0	10	10	20	5	62	103	943
164134	164134	208023865	11664	836	470	0	167	154	321	45	380	1651	6049
164138	164138	208023973	185126464	13099584	9916833	0	1344824	1225284	2570108	612642	3717366	82667544	47288070
164146	164146	208024183	61380	3070	1883	101	437	414	851	235	1992	6580	8553
164148	164148	208024270	41163	2463	1168	692	254	216	470	133	1445	6841	10823
164153	164153	208024397	170670	9120	2578	4824	0	448	0	616	7120	36385	40217
164157	164157	208024613	48808	2920	1384	820	301	256	557	158	1714	8112	12832
164221	164221	208024941	29402	2553	1683	0	366	311	677	192	1498	7091	11218
164222	164222	208025005	70912	4024	1566	1375	417	346	763	320	3152	18961	17048
164224	164224	208025108	70566	4222	2002	1186	436	370	806	229	2477	11728	18553
164226	164226	208025126	41163	2463	1168	692	254	216	470	133	1445	6841	10823
164232	164232	208025414	57814	5019	3550	0	601	568	1169	301	2945	13943	22058
164233	164233	208025489	369132	32106	23206	1430	3099	3338	6437	1033	28770	117241	100334
164241	164241	208025700	125753	10938	7549	460	1203	1121	2324	605	9801	39941	34181
164259	164259	208026116	56825	4934	3253	0	0	601	0	372	2895	13705	21681
164262	164262	208026178	64685	3870	1835	1087	399	339	738	210	2271	10750	17007
164538	164538	208026336	61924	3705	1756	1041	382	325	707	201	2174	10291	16281
164539	164539	208026342	45999	2300	1471	71	303	285	588	169	1493	4931	6410
164540	164540	208026365	174514	10441	4950	2933	1077	915	1992	566	6127	29003	45883
164547	164547	208026730	73156	4377	618	2811	0	195	0	436	2568	12158	19234
164550	164550	208026824	66485	3534	2582	0	0	272	0	272	8733	9224	20828
164556	164556	208026955	56334	4447	3237	0	480	437	917	294	3472	17740	19608
164571	164571	208027391	126897	8519	4630	289	1647	1514	3161	439	3872	16831	61674
164582	164582	208027645	50572	3026	1434	850	312	265	577	164	1775	8405	13296
164588	164588	208027781	87076	7574	5011	301	980	942	1922	339	6787	27657	23668
164589	164589	208027824	1111413	66493	31524	18677	6862	5829	12691	3602	39019	184710	292209
164974	164974	208028163	58800	2851	1910	108	340	332	672	160	2153	3570	32718
164975	164975	208028169	365764	24555	13345	834	4748	4364	9112	1264	11161	48514	177768
164981	164981	208028527	142245	6633	3126	1984	496	473	969	554	16393	17316	39099
164988	164988	208028836	28120	2446	1752	103	267	255	522	69	2192	8931	7643
164992	164992	208028883	33324	1943	1354	59	236	236	472	59	1027	6368	11371
164995	164995	208028954	51490	2922	1137	998	303	251	554	232	2288	13768	12379
164997	164997	208029131	51406	4471	3209	192	480	453	933	137	4007	16327	13973
164998	164998	208029141	29188	1702	1224	92	161	161	322	64	900	5578	9959
165004	165004	208029241	70566	4222	2002	1186	436	370	806	229	2477	11728	18553
165014	165014	208029552	42147	1965	926	588	147	140	287	164	4857	5131	11585
165015	165015	208029561	86389	4902	1908	1675	0	421	0	389	3839	23100	20769
165020	165020	208029636	62014	3086	1932	108	443	422	865	180	1569	6635	26721
165021	165021	208029640	88207	5277	2502	1482	545	463	1008	286	3097	14660	23191
165199	165199	208030244	23320	1650	1249	0	169	154	323	77	468	10414	5957
165209	165209	208030785	199291	11923	8094	477	1371	1296	2667	685	6997	33121	52397
165220	165220	208031456	70566	4222	2002	1186	436	370	806	229	2477	11728	18553
165228	165228	208031699	272012	18896	14607	1045	0	1179	0	831	28035	78369	59613
165231	165231	208031812	44692	2674	1268	751	276	234	510	145	1569	7428	11750
165236	165236	208032063	131557	6579	4035	216	937	886	1823	504	4270	14103	18332
165238	165238	208032114	65772	3067	1840	558	0	223	0	167	7580	8007	18079
165456	165456	208032135	40172	3171	2482	0	261	214	475	214	2476	12650	13983
165457	165457	208032230	68967	4126	1956	1159	0	362	0	223	2421	11462	18132
165466	165466	208032506	29402	2553	1683	0	366	311	677	192	1498	7091	11218
165468	165468	208032574	94817	7484	4492	0	0	780	0	1073	5843	29858	33003
165470	165470	208032583	319893	17094	4832	9042	0	839	0	1154	13346	68197	75380
165472	165472	208032599	297044	15873	4487	8396	0	779	0	1072	12392	63326	69996
165482	165482	208032899	29402	2553	1683	0	366	311	677	192	1498	7091	11218
165485	165485	208033107	224115	11208	8364	369	1125	1077	2202	274	7274	24025	31230
165486	165486	208033159	22518	1955	1289	0	281	238	519	147	1147	5431	8592
165493	165493	208033341	30666	2667	1765	106	345	332	677	119	2390	9740	8335
165506	165506	208033838	14962	1505	955	0	222	210	432	119	977	3227	4194
165732	165732	208034009	42619	3700	2439	0	0	451	0	279	2171	10279	16261
165735	165735	208034403	48243	2413	1543	75	318	299	617	178	1566	5172	6723
165736	165736	208034477	251345	13431	3797	7104	0	659	0	907	10486	53584	59227
165739	165739	208034561	32442	1573	1054	60	188	183	371	88	1188	1970	18051
165752	165752	208034840	98802	4696	2738	697	457	457	914	346	3142	15885	50379
165770	165770	208035481	311666	18646	8840	5237	1924	1635	3559	1010	10942	51797	81942
165777	165777	208036110	30399	2639	1740	0	379	322	701	199	1549	7332	11599
165779	165779	208036157	478020	25544	7221	13512	0	1254	0	1724	19942	101908	112641
166545	166545	208037221	365810	28875	21017	0	3115	2835	5950	1907	22543	115196	127329
166546	166546	208037250	32343	2808	1851	0	403	342	745	212	1648	7800	12340
166555	166555	208037442	26020	2263	1388	74	322	305	627	174	2028	8264	7073
166563	166563	208037797	478020	25544	7221	13512	0	1254	0	1724	19942	101908	112641
166564	166564	208037809	228495	12210	3452	6459	0	599	0	824	9533	48712	53843
166569	166569	208037904	478020	25544	7221	13512	0	1254	0	1724	19942	101908	112641
166575	166575	208038226	64685	3870	1835	1087	399	339	738	210	2271	10750	17007
166580	166580	208038371	139877	7475	4578	1625	482	395	877	395	5836	29820	32961
166589	166589	208038770	61108	5315	2984	186	1026	886	1912	233	4763	19409	16610
166644	166644	208038783	53511	2495	1192	768	0	181	0	147	6167	6514	14709
166646	166646	208039052	30196	2622	1854	0	314	297	611	157	1538	7283	11521
166648	166648	208039095	1037019	55415	33941	12048	3573	2927	6500	2927	43263	221080	244365
166649	166649	208039100	98802	4696	2738	697	457	457	914	346	3142	15885	50379
166650	166650	208039113	113622	5400	3148	802	526	526	1052	398	3613	18268	57935
166662	166662	208039535	95511	6801	5101	291	632	583	1215	194	7794	17604	39211
166677	166677	208040601	78813	4715	2235	1324	487	413	900	255	2767	13098	20721
166679	166679	208040922	30399	2639	1740	0	379	322	701	199	1549	7332	11599
166695	166695	208041550	73183	4378	2076	1230	452	384	836	237	2569	12163	19241
166753	166753	208041618	94817	7484	4492	0	0	780	0	1073	5843	29858	33003
166758	166758	208041802	185602	8936	6234	701	845	770	1615	385	2536	56392	32258
166763	166763	208041974	210527	10529	7857	346	0	1012	0	257	6833	22568	29336
166765	166765	208042134	35283	2111	1001	593	218	185	403	114	1239	5864	9276
166766	166766	208042177	24157	2097	1483	0	251	237	488	126	1231	5826	9217
166775	166775	208042429	199533	15750	11464	0	1699	1546	3245	1040	12296	62834	69452
166779	166779	208042515	77157	4499	3200	207	489	452	941	151	2378	14744	26327
166780	166780	208042570	673724	40307	19109	11322	0	3534	0	2183	23653	111969	177133
166801	166801	208042974	273684	13687	10213	450	0	1316	0	335	8883	29339	38137
166802	166802	208042980	210527	10529	7857	346	0	1012	0	257	6833	22568	29336
166863	166863	208043189	40012	3850	2774	0	442	412	854	222	3450	14058	12031
166865	166865	208043265	176415	10555	5004	2965	1089	925	2014	572	6193	29319	46382
166869	166869	208043523	210527	10529	7857	346	0	1012	0	257	6833	22568	29336
166870	166870	208043530	210527	10529	7857	346	0	1012	0	257	6833	22568	29336
166871	166871	208043532	210527	10529	7857	346	0	1012	0	257	6833	22568	29336
166884	166884	208043908	37047	2216	1051	623	229	194	423	120	1301	6157	9740
166886	166886	208044026	31755	2757	1818	0	396	336	732	208	1618	7659	12116
166888	166888	208044064	28148	2444	1611	0	351	298	649	184	1434	6789	10739
166895	166895	208044462	1566422	83704	51268	18199	0	4421	0	4421	65349	333942	369114
166902	166902	208044730	29428	2323	1691	0	251	228	479	153	1813	9267	10243
166905	166905	208044797	106960	6399	3034	1797	660	561	1221	347	3755	17776	28122
167023	167023	208045191	24245190	1295583	793523	281687	83529	68422	151951	68422	1011480	5168783	5713172
167025	167025	208045277	148039	8857	5924	424	1096	1022	2118	392	5197	24603	38922
167027	167027	208045449	82327	4925	2335	1383	508	432	940	267	2890	13682	21645
167028	167028	208045522	148202	7044	4106	1046	686	686	1372	519	4713	23827	75568
167039	167039	208045997	99968	5981	2835	1680	617	524	1141	324	3510	16614	26283
167041	167041	208046044	41100	2045	1281	72	294	280	574	119	1040	4397	17709
167044	167044	208046111	21290	1032	692	39	123	120	243	58	780	1293	11846
167045	167045	208046122	107463	5211	3491	198	622	607	1229	293	3936	6525	59795
167047	167047	208046227	21290	1032	692	39	123	120	243	58	780	1293	11846
167057	167057	208046674	281360	15035	9209	3269	0	794	0	794	11738	59983	66300
167061	167061	208046803	3324783	160073	111670	12564	0	13797	0	6899	45425	1010172	577846
167063	167063	208046914	50366	2519	1545	83	359	339	698	193	1635	5399	7018
167131	167131	208047260	404621	24208	16434	968	2783	2631	5414	1391	14205	67246	106382
167134	167134	208047368	56534	4462	3248	0	481	438	919	295	3484	17803	19678
167138	167138	208047465	223459	13369	6338	3755	1380	1172	2552	724	7845	37138	58751
167143	167143	208047602	23487	1333	519	455	138	114	252	106	1044	6280	5646
167146	167146	208047753	30962	2688	1772	0	386	328	714	202	1577	7467	11813
167155	167155	208048203	38223	2287	1084	642	236	200	436	124	1342	6352	10050
167157	167157	208048297	66411	3530	2435	0	424	371	795	300	8723	9214	20805
167171	167171	208048714	7079657	558820	406753	0	60285	54866	115151	36916	436278	2229434	2464244
167172	167172	208048908	22834	2197	1393	0	323	306	629	174	1969	8023	6866
167173	167173	208048955	71902	3596	2206	118	512	484	996	276	2334	7708	10019
167735	167735	208049737	119468	7148	3389	2008	0	627	0	387	4194	19855	31410
167738	167738	208049948	102665	8913	6303	0	1067	1009	2076	534	5230	24761	39171
167741	167741	208050069	153208	13326	8952	544	1700	1654	3354	476	11941	48661	41643
167743	167743	208050157	38930	2329	1558	111	288	269	557	103	1367	6470	10235
167764	167764	208051454	82327	4925	2335	1383	508	432	940	267	2890	13682	21645
167766	167766	208051475	32442	1573	1054	60	188	183	371	88	1188	1970	18051
167767	167767	208051488	139202	9850	7457	0	1011	921	1932	461	2795	62160	35557
167771	167771	208051663	269489	16123	7644	4529	0	1414	0	873	9461	44788	70853
167774	167774	208051701	28481	2477	1379	155	435	404	839	104	2220	9046	7741
167776	167776	208051775	95326	4577	3579	0	0	372	0	228	3320	17607	36608
167777	167777	208051809	36130	3142	2271	140	303	327	630	101	2816	11475	9820
168590	168590	208052054	42808	1781	1329	82	148	138	286	85	1292	6853	14248
168591	168591	208052063	49158	2360	1700	0	271	252	523	136	1712	9079	18878
168594	168594	208052139	89214	4326	2898	164	516	504	1020	243	3267	5417	49641
168596	168596	208052217	94088	5629	2669	1581	581	494	1075	305	3303	15637	24737
168598	168598	208052396	51160	3061	1451	860	316	268	584	166	1796	8503	13451
168604	168604	208052559	137771	11983	7418	415	1919	1660	3579	571	10738	43758	37448
168612	168612	208053295	12003	806	438	27	156	143	299	41	366	1592	5834
168614	168614	208053445	34552	2354	1680	0	305	286	591	83	1355	11107	13348
168617	168617	208053553	39138	2342	1110	658	242	205	447	127	1374	6505	10290
168618	168618	208053693	42274	2529	1717	101	291	275	566	145	1484	7026	11114
168619	168619	208053806	98283	8533	6034	0	1022	966	1988	511	5007	23704	37499
168624	168624	208054208	242305	12118	9042	398	1216	1165	2381	296	7864	25975	33764
168628	168628	208054376	50572	3026	1434	850	312	265	577	164	1775	8405	13296
168805	168805	208055276	51199	2548	1595	89	366	349	715	148	1295	5478	22061
168806	168806	208055322	26502	2305	1525	92	298	287	585	103	2066	8417	7203
168813	168813	208055856	24157	2097	1483	0	251	237	488	126	1231	5826	9217
168817	168817	208056141	41045	3564	2520	0	0	404	0	213	2091	9899	15660
168820	168820	208056253	72469	4336	2943	173	498	471	969	249	2544	12044	19053
168832	168832	208056841	30399	2639	1740	0	379	322	701	199	1549	7332	11599
168834	168834	208057047	58805	3518	1668	988	363	308	671	191	2064	9773	15461
168838	168838	208057272	38223	2287	1084	642	236	200	436	124	1342	6352	10050
168841	168841	208057421	156097	9339	6340	373	1074	1015	2089	537	5480	25942	41040
168842	168842	208057466	79327	6262	3758	0	954	653	1607	897	4888	24981	27612
168844	168844	208057585	38843	2204	858	753	229	189	418	175	1726	10386	9338
168851	168851	208057818	73881	4420	3001	177	0	480	0	254	2594	12279	19424
168852	168852	208057835	76446	4574	2168	1285	472	401	873	248	2684	12705	20099
168853	168853	208057839	182913	15909	10981	669	1750	1630	3380	880	14256	58095	49717
168972	168972	208058520	229194	15387	8362	523	2975	2735	5710	792	6993	30400	111392
168976	168976	208058787	35283	2111	1001	593	218	185	403	114	1239	5864	9276
168983	168983	208059088	22278	1039	436	268	126	117	243	92	2567	2712	6124
168988	168988	208059241	58217	3483	1651	978	359	305	664	189	2044	9675	15306
168996	168996	208059727	782105	46792	22183	13143	4829	4102	8931	2535	27458	129981	205628
168997	168997	208059852	43296	3766	2310	124	536	507	1043	289	3374	13751	11768
168998	168998	208059905	34321	2980	2107	0	357	337	694	178	1749	8277	13095
169000	169000	208060065	79683	3836	2676	301	363	331	694	165	1089	24210	13849
169006	169006	208060232	147012	8795	4170	2470	908	771	1679	476	5161	24433	38652
169128	169128	208061125	28988	2517	1780	0	301	285	586	151	1477	6991	11060
169136	169136	208061394	58800	2851	1910	108	340	332	672	160	2153	3570	32718
169139	169139	208061568	1084639	57960	36388	7968	5393	4908	10301	3302	45250	231232	255586
169143	169143	208061685	55836	4856	2954	191	746	707	1453	258	4352	17734	15177
169146	169146	208061752	38220	1902	1191	67	0	260	0	111	967	4089	16468
169148	169148	208061837	757358	65755	46499	0	0	7446	0	3937	38585	182658	288962
169151	169151	208061899	1014616	54218	15327	28679	3889	2662	6551	3660	42329	216304	239086
169153	169153	208061980	54200	3075	1197	1051	319	264	583	244	2409	14493	13030
169154	169154	208062008	284244	14215	10608	467	1426	1366	2792	348	9225	30471	39608
169157	169157	208062062	164654	9851	4670	2767	1017	864	1881	534	5781	27365	43290
169158	169158	208062095	115627	6918	4696	277	795	752	1547	398	4059	19217	30400
169175	169175	208062838	111791	4651	3470	214	386	361	747	221	3374	17895	37208
169308	169308	208063375	133821	6490	4348	246	775	757	1532	365	4901	8126	74461
169313	169313	208063550	56138	2618	1250	806	217	190	407	154	6470	6834	15431
169314	169314	208063632	33448	2640	1922	0	285	259	544	174	2061	10533	11642
169319	169319	208063753	621597	33216	9390	17570	2383	1631	4014	2242	25932	132517	146474
169323	169323	208063833	98801	8594	5836	470	969	929	1898	390	7700	31380	26855
169401	169401	208064348	17099515	1487279	1009966	81282	167751	160834	328585	67446	1332719	5431009	4647810
169418	169418	208064599	342743	18315	5178	9688	0	899	0	1236	14299	73069	80764
169565	169565	208065020	2806407	116771	80595	4910	0	11964	0	6460	84704	449240	934068
169572	169572	208065176	103450	6189	2934	1738	0	543	0	335	3632	17193	27199
169575	169575	208065201	7551	656	464	0	78	74	152	39	385	1821	2881
169576	169576	208065214	386495	20653	5839	10925	1481	1014	2495	1394	16124	82396	91074
169672	169672	208065695	6948745	604387	410421	33030	0	65358	0	27408	541578	2207004	1888735
169679	169679	208065733	193457	16826	11304	687	2146	2089	4235	601	15078	61444	52583
169687	169687	208065825	339758	18608	12722	784	2308	2165	4473	629	10712	87812	105529
169698	169698	208065932	51333	3071	2085	123	353	334	687	177	1802	8531	13496
169705	169705	208065997	84548	5058	3434	202	581	550	1131	291	2968	14051	22229
169709	169709	208066034	182913	15909	10981	669	1750	1630	3380	880	14256	58095	49717
169718	169718	208066165	43922	2048	978	631	0	149	0	120	5062	5347	12073
169830	169830	208066188	97325	4720	3162	179	563	550	1113	265	3564	5909	54154
169861	169861	208066633	208620	14006	7611	476	2708	2489	5197	721	6366	27671	101393
169863	169863	208066677	32068	1820	708	622	189	156	345	145	1425	8575	7710
169865	169865	208066699	48015	4176	2882	176	459	428	887	231	3742	15250	13051
169879	169879	208067196	68957	4021	3070	184	350	317	667	100	2125	13177	23529
169880	169880	208067197	44680	3000	1630	102	580	533	1113	154	1363	5926	21715
171576	171576	207208473	5881	511	337	0	73	62	135	38	300	1418	2244
175156	175156	207022585	517483	44928	29620	0	6447	5477	11924	3384	26364	124806	197440
177246	177246	207218331	43516	2603	1234	731	269	228	497	141	1528	7232	11441
178416	178416	208067380	114770	6866	4662	275	0	746	0	395	4029	19074	30175
178421	178421	208067421	320073	19149	13000	766	2201	2082	4283	1101	11237	53194	84153
178428	178428	208067590	31727	1850	1331	100	175	175	350	70	978	6063	10825
178432	178432	208067634	66430	3974	2698	159	457	432	889	228	2332	11040	17466
178439	178439	208067819	227018	12131	7616	1668	1129	1027	2156	691	9471	48397	53495
178447	178447	208068050	115611	5782	3546	190	823	779	1602	443	3752	12393	16110
178450	178450	208068194	56789	4939	3268	197	639	614	1253	221	4426	18037	15436
178451	178451	208068197	822492	41134	25230	1352	5857	5542	11399	3154	26695	88170	114611
178454	178454	208068312	42774	1995	952	614	166	145	311	117	4929	5207	11757
178481	178481	208068922	2112023	166709	121344	0	17984	16368	34352	11013	130152	665091	735140
178491	178491	208069162	151340	7569	5648	249	759	728	1487	185	4912	16223	21089
178496	178496	208069241	22518	1955	1289	0	281	238	519	147	1147	5431	8592
178506	178506	208069528	37782	2260	1535	90	260	246	506	130	1326	6279	9934
178510	178510	208069650	43516	2603	1234	731	269	228	497	141	1528	7232	11441
178521	178521	208069874	52611	2631	1614	86	375	354	729	202	1708	5640	7331
178535	178535	208070253	44013	2566	1789	78	311	311	622	78	1356	8411	15018
178540	178540	208070535	13890	1206	853	0	144	137	281	72	708	3350	5300
178551	178551	208070711	263504	12288	5868	3784	1020	893	1913	723	30367	32078	72430
178553	178553	208070743	409685	21892	6189	11580	1570	1075	2645	1478	17092	87340	96539
178554	178554	208070745	166277	13125	9553	0	1416	1289	2705	867	10247	52362	57877
178561	178561	208070902	764876	60374	43945	0	6513	5928	12441	3988	47135	240865	266234
178562	178562	208070923	285874	15276	9591	2100	1421	1294	2715	870	11926	60945	67364
178565	178565	208070986	110852	8750	6369	0	944	859	1803	578	6831	34908	38585
178567	178567	208071001	9229836	444374	310003	34877	42040	38303	80343	19151	126103	2804311	1604142
178568	178568	208071005	532737	24843	11863	7651	2063	1805	3868	1461	61395	64853	146436
178570	178570	208071010	313918	24779	18036	0	2673	2433	5106	1637	19345	98855	109267
178687	178687	208071212	80549177	4304283	2702271	591755	400503	364503	765006	245252	3360415	17172116	18980727
178691	178691	208071260	436495	34454	25078	0	3717	3383	7100	2276	26899	137455	151932
178701	178701	208071474	17034495	1344586	978696	0	145052	132014	277066	88824	1049738	5364283	5929263
178702	178702	208071496	82327	4925	2335	1383	508	432	940	267	2890	13682	21645
178715	178715	208071770	1748	152	107	0	20	18	38	7	89	422	667
178719	178719	208071806	53664	3129	2174	159	371	318	689	106	1654	10255	18311
178723	178723	208071884	35266	3062	2165	0	367	347	714	183	1797	8505	13455
178725	178725	208071891	49692	2485	1524	82	354	335	689	191	1613	5327	6924
178726	178726	208071900	31646	2752	1532	173	484	449	933	115	2466	10051	8602
178727	178727	208071936	411497	21989	13468	4781	1418	1161	2579	1161	17167	87726	96966
178730	178730	208071981	217328	11613	7291	1597	1081	983	2064	662	9067	46332	51211
178911	178911	208072448	325243	28289	19210	1546	3191	3059	6250	1283	25349	103301	88404
178912	178912	208072476	1987786	106221	66686	14603	9884	8995	18879	6052	82928	423772	468405
178913	178913	208072484	15975	1261	918	0	136	124	260	83	984	5031	5561
178914	178914	208072529	77299	6101	3662	0	929	636	1565	874	4763	24342	26906
178915	178915	208072537	60745	3542	2548	192	334	334	668	134	1872	11608	20727
178916	178916	208072563	56534	4462	3248	0	481	438	919	295	3484	17803	19678
178920	178920	208072656	301586	17585	12508	809	1913	1766	3679	589	9294	57632	102904
178922	178922	208072672	64685	3870	1835	1087	399	339	738	210	2271	10750	17007
178923	178923	208072682	7820	617	449	0	67	61	128	41	482	2462	2722
178931	178931	208072840	203096	12151	5761	3413	0	1065	0	658	7130	33753	53397
178933	178933	208072896	36133	2050	798	701	213	176	389	163	1606	9662	8687
178947	178947	208073229	319893	17094	4832	9042	0	839	0	1154	13346	68197	75380
178951	178951	208073258	365592	19536	5523	10334	0	959	0	1319	15252	77940	86149
179120	179120	208073439	132743	7093	2005	3752	0	348	0	479	5538	28299	31280
179141	179141	208074312	39752	1978	1239	69	284	271	555	115	1006	4253	17129
179145	179145	208074480	34469	1672	1120	63	200	195	395	94	1262	2093	19179
179154	179154	208075092	685275	37532	25660	1581	4655	4366	9021	1270	21606	177112	212846
179163	179163	208075188	33412655	2637366	1919683	0	284516	258941	543457	174226	2059029	10521881	11630073
179282	179282	208075656	61761	3695	521	2373	0	165	0	368	2168	10264	16238
179286	179286	208075726	147012	8795	4170	2470	908	771	1679	476	5161	24433	38652
179305	179305	208076180	41166	3581	2010	126	691	597	1288	157	3208	13075	11189
179329	179329	208076752	552089	27610	20603	908	2770	2654	5424	675	17919	59183	76931
179333	179333	208076979	36839	3198	2262	0	383	362	745	191	1877	8885	14055
179489	179489	208077805	126316	6317	4714	208	0	607	0	154	4100	13541	17602
179676	179676	208078224	189474	9476	7071	312	0	911	0	232	6150	20311	26402
179697	179697	208078605	214737	10739	8014	353	0	1032	0	263	6970	23020	29923
179698	179698	208078614	126316	6317	4714	208	0	607	0	154	4100	13541	17602
180252	180252	208079066	139530	6978	4280	229	994	940	1934	535	4529	14957	19443
180255	180255	208079111	48344	2328	1624	183	220	201	421	100	661	14688	8402
180257	180257	208079134	43132	3752	2712	167	362	390	752	121	3362	13699	11724
180259	180259	208079167	32442	1573	1054	60	188	183	371	88	1188	1970	18051
180260	180260	208079211	106487	5299	3230	177	0	782	0	303	2694	11393	45884
180261	180261	208079223	5486045	390634	292976	16741	36273	33483	69756	11161	447668	1011161	2252247
180274	180274	208079798	210527	10529	7857	346	0	1012	0	257	6833	22568	29336
180280	180280	208080009	34031	1931	751	660	0	166	0	153	1512	9099	8181
180295	180295	208080163	4504537	240708	147429	52335	0	12712	0	12712	187924	960313	1061456
180297	180297	208080255	28172	2224	1619	0	240	218	458	147	1736	8872	9806
180302	180302	208080400	81248	7067	4799	386	797	764	1561	320	6332	25805	22084
180308	180308	208080653	317041	31897	24611	0	3309	3170	6479	806	20701	68373	88876
180310	180310	208080784	80492	4301	2700	591	400	364	764	245	3358	17160	18967
180312	180312	208080894	88207	5277	2502	1482	545	463	1008	286	3097	14660	23191
180315	180315	208081030	332416	18206	12447	767	0	2118	0	616	10481	85914	103249
