level_0	index	SITEID	IT_STAFF	WIRELESS_USERS	INTERNET_USERS	DEVELOPERS	PCS	DESKTOPS	LAPTOPS	SERVERS	PRINTERS	COLOR_PRINTERS	MULTIFUNC_PRINTERS	STORAGE	EXTENSIONS	CALLCENTER_CALLERS	NETWORK_LINES	ROUTERS
281327	281327	208103375	0	3	5 to 9	0	12	9	3	1	4	0	0	1 to 10 TB	0	0	0	0
281328	281328	208103396	500 to 999	465	1000 or More	0	7200	5922	1278	2287	3152	0	0	3+ PB	0	0	0	0
281329	281329	208103443	0	7	10 to 24	0	40	29	11	8	15	0	0	100 to 500 TB	0	0	0	0
281333	281333	208103511	0	1	1 to 4	0	22	18	4	0	5	0	0	1 to 10 TB	0	0	0	0
281349	281349	208362395	0	0			7	5	2	0	3	0	0	1 to 10 TB	0	0	0	0
281365	281365	208367958	1 to 4	0			8	7	1	1	3	0	0	25 to 50 TB	0	0	0	0
281377	281377	208371521	0	0			8	5	3	1	3	0	0	100 to 500 TB	0	0	0	0
281383	281383	208372294	0	0			9	6	3	2	2	0	0	10 to 25 TB	0	0	0	0
281389	281389	208375519	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281411	281411	208983019	0	0			15	13	2	0	3	0	0	50 to 100 TB	0	0	0	0
281412	281412	208984276	0	0			6	5	1	0	2	0	0	1 to 10 TB	0	0	0	0
281416	281416	208985594	0	0			0	0	0	0	0	0	0		0	0	0	0
281422	281422	208986925	0	0			6	3	3	0	2	0	0	100 to 500 TB	0	0	0	0
281524	281524	208070203	0	3	5 to 9	0	5	4	1	0	2	0	0	1 to 10 TB	0	0	2	0
281525	281525	208070227	1 to 4	4	10 to 24	0	49	36	13	3	9	0	0	25 to 50 TB	0	0	3	0
281527	281527	208070244	0	1	1 to 4	0	6	4	2	0	3	0	0	50 to 100 TB	0	0	2	0
281528	281528	208070250	0	17	25 to 49	0	27	21	6	3	7	0	0	1 to 10 TB	0	0	3	0
281540	281540	208070707	0	1	1 to 4	0	7	6	1	0	2	0	0	25 to 50 TB	0	0	2	0
281541	281541	208070816	0	1	1 to 4	0	5	4	1	0	2	0	0	10 to 25 TB	0	0	2	0
281548	281548	208070939	0	3	5 to 9	0	11	7	4	1	3	0	0	50 to 100 TB	0	0	3	0
281555	281555	208071153	1 to 4	4	10 to 24	0	36	30	6	5	9	0	0	25 to 50 TB	0	0	3	0
281559	281559	208071198	0	12	50 to 99	0	59	43	16	1	11	0	0	25 to 50 TB	0	0	5	0
281567	281567	208103742	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281571	281571	208103785	25 to 49	51	100 to 249	0	248	212	36	79	58	0	0	1 PB to 3 PB	0	0	0	0
281573	281573	208103878	0	2	1 to 4	0	11	9	2	1	4	0	0	1 to 10 TB	0	0	0	0
281577	281577	208103933	0	2	1 to 4	0	9	6	3	1	3	0	0	100 to 500 TB	0	0	0	0
281582	281582	208104093	0	0		0	1	0	1	0	1	0	0	50 to 100 TB	0	0	0	0
281587	281587	208104139	0	0		0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281594	281594	208104261	0	0		0	15	10	5	2	3	0	0	100 to 500 TB	0	0	0	0
281596	281596	208104291	0	0		0	1	0	1	0	1	0	0	50 to 100 TB	0	0	0	0
281597	281597	208104303	0	0		0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281603	281603	208104434	1 to 4	2	5 to 9	0	14	12	2	2	3	0	0	10 to 25 TB	0	0	0	0
281605	281605	208104454	0	1	1 to 4	0	8	7	1	0	4	0	0	1 to 10 TB	0	0	0	0
281610	281610	208104602	0	0		0	1	0	1	0	1	0	0	25 to 50 TB	0	0	0	0
281613	281613	208104678	0	2	1 to 4	0	10	8	2	0	4	0	0	1 to 10 TB	0	0	0	0
281614	281614	208104729	0	1	1 to 4	0	4	3	1	0	3	0	0	1 to 10 TB	0	0	0	0
281616	281616	208104735	0	3	1 to 4	0	13	11	2	0	4	0	0	1 to 10 TB	0	0	0	0
281628	281628	208385119	1 to 4	0			48	36	12	6	9	0	0	10 to 25 TB	0	0	0	0
281646	281646	208390808	0	0			9	6	3	2	3	0	0	100 to 500 TB	0	0	0	0
281656	281656	208394779	0	0			8	4	4	0	2	0	0	100 to 500 TB	0	0	0	0
281660	281660	208395894	10 to 24	0			264	163	101	48	40	0	0	500 TB to 1 PB	0	0	0	0
281677	281677	208101304	0	2	5 to 9	0	9	6	3	2	2	0	0	50 to 100 TB	0	0	3	0
281682	281682	208101395	0	40	50 to 99	0	20	15	5	0	6	0	0	100 to 500 TB	0	0	9	0
281691	281691	208101640	1 to 4	24	100 to 249	0	118	90	28	3	24	0	0	100 to 500 TB	0	0	5	0
281694	281694	208101699	5 to 9	41	50 to 99	0	143	88	55	33	21	0	0	1 PB to 3 PB	0	0	6	0
281695	281695	208101735	10 to 24	123	250 to 499	0	335	277	58	33	64	0	0	500 TB to 1 PB	0	0	10	0
281709	281709	208102025	1 to 4	9	10 to 24	0	24	20	4	3	7	0	0	25 to 50 TB	0	0	3	0
281711	281711	208102097		79	250 to 499	0	393	287	106	12	63	0	0	1 PB to 3 PB	0	0	8	0
281714	281714	208102146	1 to 4	5	10 to 24	0	15	13	2	3	4	0	0	50 to 100 TB	0	0	3	0
281715	281715	208102185	0	3	5 to 9	0	8	4	4	0	2	0	0	100 to 500 TB	0	0	2	0
