level_0	index	SITEID	CLOUD_COMPUTING_PLS	PCS_PLS	DAS_PLS	NAS_PLS	SAN_PLS	COMPLIANCE_PLS	WINDOWS7_ADOPTION_PLS	ASSET_MGMT_SW_PLS	CRM_SW_ILS	DOC_MGMT_SW_ILS	DOC_MGMT_SW_PLS	TABLET_PLS	INFRASTRUCTURE_AS_A_SERVICE_PLS	SURVEILLANCE_PRES	SURVEILLANCE_MANUF	SURVEILLANCE_INIT	DATA_LOSS_PREVENTION_PLS	DIGITAL_SIGNAGE_PLS	MESSAGING_SECURITY_PLS	PLATFORM_AS_A_SERVICE_PLS	SMARTPHONE_PLS	DESKTOP_PRINTERS	NETWORK_PRINTERS	SMARTPHONE_USERS	TABLETS	WORKSTATIONS	ENT_DESKTOP_PRINTERS	ENT_NETWORK_PRINTERS	ENT_SMARTPHONE_USERS	ENT_TABLETS	ENT_WORKSTATIONS	PERIPHERAL_BUDGET	ENT_PERIPHERAL_BUDGET	FILE_PRINT_SERVER_ILS	WEB_SERVER_ILS	APPLICATION_SERVER_ILS	EMAIL_SERVER_ILS	DATABASE_SERVER_ILS	TABLET_ILS	CLOUD_COMPUTING_ILS	DBMS_INIT	MULTIFUNCTION_PRINTER_INIT	IDACCESS_SW_INIT	ROUTER_INIT	VPN_INIT	ERP_CRM_SW_PRES	ERP_ACCOUNTING_SW_PRES	ERP_HUMAN_RES_SW_PRES	ERP_SUPPLY_CHAIN_SW_PRES	ERP_UNSPEC_SW_PRES	ACCOUNTING_SW_INIT	HUMAN_RES_SW_INIT	SUPPLY_CHAIN_SW_INIT	XP_MIGRATION_INIT	REVEN_REVISED
256402	256402	208001136	5	5	5	5	5	4		5	5			5	5				5		5	3		669	1131	478	84	419	1	2	<	2	1	530000	<																						0.2
256407	256407	208001174	5	5	5	5	5	4		5	4			5	5				5		5	5		34	35	86	9	17	1	1	<	<	5	23000	<																						0
256413	256413	208001195	3	2	2	2	3	2		2	3			3	3				2		2	2		6	8	9	3	2	<	<	0	<	<	4000	<																						0.7
256415	256415	208001216	5	5	5	5	5	4		5	5			5	5				5		5	5		0	0	94	0	0	<	<	0	<	5	63000	<																						0.7
256418	256418	208001257	5	5	5	5	5	4		5	5	5		5	5				5		5	4		3	4	14	1	1	<	<	0	<	<	2000	<																						0.3
256420	256420	208001263	4	5	5	4	3	2		5	5			5	2				5		5	2		22	39	33	2	16	1	1	0	5	2	2000	<																						0.2
256423	256423	208001289	2	5	2	2	5	2		2	2			2	2				2		2	2		129	226	266	6	49	5	1	0	2	2	40000	<																						0.1
256424	256424	208001312	5	5	5	4	3	2		5	5			5	4				4		5	4		1	0	12	0	0	<	<	0	<	<	1000	<																						0.7
256431	256431	208001348	5	5	5	5	5	5		5	4			5	5	Yes	OTHER		5		5	5		2	3	23	1	0	<	<	0	<	<	1000	<																						0
256432	256432	208001368	4	5	5	5	5	4		5	3			5	5				5		5	5		26	47	41	3	21	<	2	0	<	1	75000	<																						0.3
256435	256435	208001392	5	5	5	5	5	4		5	5	5		5	5				5		5	3		60	74	8	6	17	1	2	<	<	5	60000	<																						0.5
256437	256437	208001395	4	5	4	4	4	3		5	5			5	3				4		4	3		2	3	6	0	2	<	<	0	<	<	1000	<																						0.2
256438	256438	208001408	2	5	2	2	5	2		2	2			3	3				2		2	2		166	223	24	26	111	1	1	0	<	1	56000	<																						0.5
256441	256441	208001437	5	5	5	5	5	4		5	5			5	5				5		5	5		10	46	62	5	17	5	1	<	5	2	38000	<																						0
256442	256442	208001441	5	5	5	5	5	5		5	4			5	5				5		5	5		14	46	47	4	15	<	<	0	<	<	72000	<																						0.3
256444	256444	208001470	5	5	5	5	5	5		5	5	5		5	5				5		5	5		287	603	0	47	360	1	1	0	5	2	3000000	<							5							Yes	Yes							0
256448	256448	208001497	3	5	5	5	5	4		5	5			5	5				5		5	4		0	0	1	0	0	<	<	<	<	<	1000	<																						0.6
256450	256450	208001511	5	5	5	5	5	5		5	5			5	5				5		5	5		4	9	17	0	7	2	5	<	2	1	11000	<																						0
256451	256451	208001528	4	5	5	4	4	2		5	5			5	4				5		5	3		1	3	5	0	2	2	5	<	5	2	2000	<																						0
256459	256459	208001555	5	5	5	5	5	4		5	5	5		5	5				5		5	5		0	0	5	0	0	<	<	<	<	5	10000	<																						0
256463	256463	208001601	4	5	5	5	4	3		5	5			5	3				5		5	2		3	10	20	1	10	<	<	0	<	<	21000	<																						0.7
256473	256473	208001660	4	5	5	4	4	2		5	5			5	5				4		4	3		4	8	5	1	2	<	<	0	<	<	1000	<																						0.5
256475	256475	208001662	5	5	5	5	5	4		5	5			5	5				5		5	4		8	22	30	1	10	1	2	<	<	5	63000	<																						0.5
256480	256480	208001721	4	5	5	5	5	4		5	4			5	5				5		5	4		427	1050	434	91	190	5	1	0	<	2	380000	<																						0.5
256481	256481	208001728	5	5	5	5	5	5		5	4			5	5				5		5	5		350	861	136	78	162	2	5	0	<	1	210000	<																						0.4
256489	256489	208001759	4	5	5	5	5	5		5	4			5	5				5		5	5		97	319	43	26	95	1	1	0	5	2	240000	<																						0.4
256496	256496	208001895	5	5	5	4	5	3		5	5			5	5				5		5	3		7	16	29	2	11	<	<	<	<	<	22000	<																						0.6
256503	256503	208002050	2	2	2	2	2	2		2	2			3	2				2		2	2		0	0	6	0	0	1	2	<	<	5	4000	<																						0.9
256505	256505	208002074	4	5	5	5	5	3		5	4			5	5				5		5	4		0	0	61	0	0	<	<	0	<	<	11000	<																						0.7
256506	256506	208002075	2	2	2	1	2	2		2	3			2	2				2		2	2		2	2	2	0	0	<	2	0	<	1	4000	<																						0
256508	256508	208002098	4	5	5	5	4	2		5	5			5	4				2		2	2		6	17	23	2	16	5	1	0	<	1	32000	<																						1
256511	256511	208002150	4	5	4	5	4	2		5	5			5	5				4		4	4		2	4	1	0	1	<	<	0	<	<	1000	<																						0
256519	256519	208002311	3	5	3	2	5	2		3	2			4	4				2		3	3		0	0	15	0	0	<	5	<	<	2	28000	<																						0.9
256523	256523	208002318	3	4	3	2	3	2		4	5			5	4				4		4	2		2	3	0	0	1	<	<	0	<	<	1000	<							5															0.4
256527	256527	208002352	3	5	5	5	5	3		5	4	5		5	5				5		5	4		4	5	1	0	1	<	<	0	<	<	11000	<																						0.1
256529	256529	208002388	2	5	5	5	4	2		5	3			5	2				3		4	2		25	49	78	0	12	2	5	<	2	1	81000	<																						0
256531	256531	208002408	3	5	3	2	4	2		2	2			4	4				2		2	2		30	44	48	11	14	2	5	0	<	1	14000	<																						0.9
256560	256560	208002736	2	2	2	2	3	2		2	2			2	2				2		2	2		6	5	4	0	2	5	1	<	<	2	1000	<																						0.4
256564	256564	208002773	5	5	5	5	5	4		5	5			5	5				5		5	4		1	2	22	0	2	5	1	0	<	1	4000	<																						0
256568	256568	208002829	5	5	5	5	5	4		5	5			5	4				5		5	4		11	20	120	3	11	2	5	<	<	1	19000	<																						0
256569	256569	208002840																						0	0	0	0	0						0																							0.4
256572	256572	208002858	4	5	5	5	5	3		5	3	5		5	3	Yes	UNSPECIFIED		5		5	3		11	27	48	5	8	2	5	0	5	1	25000	<																						0
256573	256573	208002859	4	5	5	5	5	4		5	4			5	5				5		5	4		6	7	32	0	1	1	1	0	<	5	1000	<																						0
256578	256578	208002973	3	4	4	2	2	2		3	5			3	3				3		2	3		2	5	51	0	3	<	<	0	<	<	5000	<																						1
256583	256583	208003109	3	3	4	2	2	2		4	5			3	2				2		3	2		1	1	1	0	0	<	<	0	<	<	1000	<																						0
256584	256584	208003134	5	5	5	5	5	4		5	5			5	5				5		5	4		9	26	25	3	25	5	1	<	<	5	80000	<																						0.7
256586	256586	208003151	3	5	5	5	5	2		3	2			3	4				5		5	3		9	40	16	3	11	2	5	<	2	2	28000	<								Yes														1
256588	256588	208003167	3	4	3	2	3	2		3	2			2	2				1		2	3		2	5	20	0	2	5	1	<	5	2	4000	<																						0
256589	256589	208003170	2	2	1	1	2	1		2	3			1	2				1		1	2		39	61	51	7	18	5	1	<	<	2	62000	<																						0
256593	256593	208003253	4	5	5	4	4	3		4	5			4	4				4		3	2		6	9	6	1	4	2	5	0	<	1	6000	<																						0.8
256594	256594	208003259	2	2	2	1	2	2		2	2			2	2				1		1	2		2	2	1	0	0	<	<	0	<	5	1000	<																						0
256601	256601	208003372	4	5	5	5	5	4		5	4			5	5				5		5	4		10	29	52	4	28	1	1	0	2	2	100000	<																						0
256603	256603	208003423	5	5	5	5	5	5		5	5	5		5	5				5		5	5		9	40	22	4	13	<	<	<	<	5	21000	<																						0.3
256616	256616	208003552	5	5	5	5	5	4		5	5	5		5	5				5		5	5		3	6	18	0	4	<	<	0	<	<	3000	<																						0.2
256617	256617	208003600	5	5	5	5	5	4		5	5			5	5				5		5	5		35	47	99	14	18	<	2	0	<	5	49000	<																						0
256618	256618	208003602	3	3	3	2	2	2		3	5			2	2				2		2	3		4	3	5	0	1	<	<	0	<	<	2000	<																						0.5
256624	256624	208003741	4	5	5	5	4	3		5	5			5	4				5		5	3		2	1	1	0	0	<	<	0	<	<	1000	<																						0.8
256626	256626	208003752	2	3	3	2	3	2		2	2			3	3				2		2	2		0	0	19	0	0	1	1	<	<	1	16000	<																						0.8
256634	256634	208003892	4	5	5	5	5	3		5	4			5	5				4		4	4		6	14	45	3	4	2	5	<	5	2	7000	<																						0
256645	256645	208004046	5	5	5	5	5	5		5	3			5	5				5		5	4		7	20	39	1	9	<	<	0	<	<	51000	<																						0.6
256651	256651	208004112	2	5	5	5	5	4		5	2			5	5				5		5	3		34	80	0	12	18	1	2	0	5	1	45000	<																						0.6
256657	256657	208004155	4	5	5	5	4	2		5	5			5	4	Yes	PANASONIC		4		4	3		30	53	4	2	21	<	<	0	<	<	17000	<																						0.3
256659	256659	208004173	4	5	5	5	4	4		5	3			5	4				5		5	3		12	33	29	2	18	<	2	<	<	1	13000	<																						0
256663	256663	208004257	4	5	5	5	2	2		5	5			5	3				4		4	3		10	44	78	5	16	1	5	<	<	1	50000	<																						0
256667	256667	208004311	5	5	5	5	5	5		5	5			5	5				5		5	5		23	55	31	6	38	5	1	<	<	5	57000	<																	Yes					0.2
256668	256668	208004315	5	5	5	5	5	3		5	5			5	5				5		5	3		0	0	19	0	0	1	2	0	2	1	22000	<																						0.4
256670	256670	208004347	2	4	3	2	3	2		2	2			2	2				2		2	2		7	8	5	0	1	1	1	0	5	2	4000	<																						0.7
256677	256677	208004387	5	5	5	5	4	3		5	5			5	3				5		5	3		105	257	246	31	65	2	5	0	2	5	120000	<																						0
256679	256679	208004412	3	4	3	2	3	2		3	2			2	2				3		3	3		10	31	3	3	11	1	2	<	2	2	72000	<																						0
256708	256708	208004536	5	5	5	5	5	4		5	5			5	5				5		5	5		5	4	13	0	1	<	<	0	<	<	3000	<																						0.6
256725	256725	208004581	3	3	2	2	3	2		2	4			3	5				2		2	2		6	11	4	1	3	<	<	0	<	<	9000	<																						0
256744	256744	208004613	3	5	5	5	4	3		5	4			5	5				5		5	3		6	7	0	0	2	<	<	0	<	<	1000	<																						0.1
256759	256759	208004652	3	5	5	5	5	3		5	4			5	5				5		5	4		12	14	11	0	3	<	<	0	<	<	1000	<																						0.9
256761	256761	208004656	4	5	4	4	4	2		5	5			5	4				4		4	4		11	16	9	6	7	<	<	0	<	<	5000	<																						0.8
256766	256766	208004663	3	5	5	5	5	4		5	5			5	5				4		5	3		9	24	15	1	13	5	1	<	<	5	17000	<																						0.5
256770	256770	208004668	4	4	4	3	3	2		4	5			4	4				3		3	3		4	5	12	1	1	<	<	0	<	<	3000	<																						0.8
256789	256789	208004696	4	5	5	5	5	4		5	5			5	5				5		5	4		13	41	14	2	19	<	<	0	<	<	15000	<							5												Yes		Yes	0.5
256793	256793	208004700	5	5	5	5	5	4		5	5			5	5				5		5	4		0	0	14	0	0	<	<	0	<	<	5000	<																						0.2
256939	256939	208004995																						0	0	0	0	0						0																							0.5
256962	256962	208005051																						0	0	0	0	0						0																							0
256979	256979	208005075	5	5	5	5	5	4		5	4			5	5				5		5	4		20	47	45	8	15	<	<	0	<	<	22000	<																						0.9
256991	256991	208005099	4	5	5	5	5	3		5	5			5	4				5		5	3		4	7	1	0	2	<	<	0	<	<	1000	<																						0.7
257000	257000	208005145	3	4	5	3	3	2		5	5			4	2				3		4	2		3	5	5	0	2	<	<	0	<	<	1000	<																						0
257002	257002	208005175	5	5	5	5	5	4		5	5			5	5				5		5	4		7	17	55	3	5	5	1	0	<	2	9000	<																						0.9
257003	257003	208005211	5	5	5	5	5	5		5	4			5	5	Yes	UNSPECIFIED		5		5	5		9	21	29	2	14	<	<	0	<	<	34000	<														Yes								0.1
257004	257004	208005213	3	5	3	3	5	2		5	5			5	4				4		3	2		10	10	0	3	5	<	<	0	<	<	20000	<																						0.1
257006	257006	208005225																						0	0	0	0	0						0																							0.3
257041	257041	208005353	2	2	2	1	2	2		2	2			2	2				2		2	2		3	5	10	0	2	<	<	0	<	<	3000	<																						0.4
257047	257047	208005375	5	5	5	5	5	5		5	5			5	5				5		5	5		0	0	30	0	0	<	<	0	<	<	21000	<																						0
257049	257049	208005382	2	3	3	2	2	2		2	2			2	2				2		2	2		23	30	44	9	11	2	2	0	<	1	32000	<																						0
257053	257053	208005389	5	5	5	5	5	4		5	5			5	5				5		5	3		0	0	31	0	0	<	<	0	<	<	9000	<																						0.4
257054	257054	208005391	3	5	5	5	5	2		5	5			5	4				5		5	4		3	3	21	1	1	1	1	0	2	1	1000	<																						0
257060	257060	208005402	4	5	5	5	5	3		5	5			5	4				4		5	2		10	31	23	4	28	5	1	0	<	1	54000	<																						0.6
257070	257070	208005412																						0	0	0	0	0						0																							0.6
257083	257083	208005427	3	2	3	2	2	2		2	2			3	3				2		2	2		0	0	2	0	0	<	<	0	<	<	25000	<																						0.3
257099	257099	208005467	5	5	5	5	5	4		5	5			5	5				5		5	5		0	0	24	0	0	1	5	0	2	1	160000	<																						0.8
257102	257102	208005474	4	5	5	5	5	3		5	5			5	5				5		5	5		4	9	23	0	6	<	<	0	<	<	12000	<																						0
257154	257154	208005561	5	5	5	5	5	4		5	4	5		5	5				5		5	4		9	28	66	2	10	<	2	0	<	1	60000	<																						0.3
257168	257168	208005582	4	5	5	5	5	4		5	4			5	5	Yes	UNSPECIFIED		5		5	4		0	0	5	0	0	<	<	0	<	<	6000	<																	Yes					0.6
257169	257169	208005584	5	5	5	5	5	4		5	5	5		5	4	Yes	AXIS		5		5	4		3	6	27	0	5	<	<	0	<	<	3000	<							5															0.1
257174	257174	208005604	5	5	5	5	5	4		5	5			5	4				5		5	4		4	10	11	1	3	<	<	0	<	<	2000	<																						0.5
257276	257276	208005787	5	5	5	5	5	4		5	5			5	5				5		5	5		5	9	53	0	12	<	<	0	<	5	44000	<																						0.6
257296	257296	208005827	3	2	3	2	2	2		2	5			2	3				2		2	2		2	4	0	0	1	<	<	0	<	<	2000	<																						0
257341	257341	208005944	5	5	5	5	4	3		5	5	5		5	4				5		5	4		25	56	8	8	26	1	1	0	5	2	27000	<																						0.4
257343	257343	208005946	4	5	5	5	5	4		5	5			5	5				5		5	4		11	20	8	2	6	<	<	0	<	<	18000	<																						0.6
257377	257377	208006009	2	5	3	2	3	2		3	2			3	2				1		2	2		36	62	139	10	50	5	1	<	5	2	89000	<																						0
257397	257397	208006182	5	5	5	5	5	5		5	5	5		5	5				5		5	5		9	9	19	2	4	<	<	0	<	<	12000	<							5						Yes	Yes								0
257404	257404	208006219	5	5	5	5	5	4		5	5			5	5				5		5	5		6	5	4	0	1	<	<	0	<	<	3000	<																						0.6
257411	257411	208006239	2	3	3	2	2	2		2	2			2	2				2		2	2		16	38	8	7	13	1	1	0	2	2	12000	<																						0
257429	257429	208006279	5	5	4	4	5	2		4	5			5	4				3		4	2		5	6	5	3	2	<	<	0	<	<	1000	<																						0.4
257430	257430	208006280	2	5	2	2	5	2		2	5			3	3				1		2	2		19	27	30	12	14	<	<	0	<	5	19000	<																						0
257432	257432	208006286	5	5	5	5	5	5		5	4			5	5	Yes	UNSPECIFIED		5		5	5		0	0	100	0	0	<	2	0	<	5	190000	<																						0.1
257437	257437	208006302	4	5	5	5	4	3		5	5			5	3				5		5	3		4	8	14	0	6	<	<	0	<	<	8000	<																						0.1
257451	257451	208006517																						0	0	0	0	0						0																							0.4
257452	257452	208006518	5	5	5	5	5	5		5	4			5	5				5		5	5		36	52	5	13	16	1	1	0	2	2	17000	<																						0
257461	257461	208006547	4	5	5	5	5	3		5	2			5	4				5		5	3		2	4	16	0	3	<	<	0	<	<	3000	<																						0
257478	257478	208006612																						0	0	0	0	0						0																							1
257479	257479	208006615	2	1	2	1	2	1		2	4			1	2				2		2	2		1	2	6	0	1	<	<	0	<	<	1000	<																						0.2
257491	257491	208006657																						0	0	0	0	0						0																							0.1
257503	257503	208006988	5	5	5	4	5	4		4	4			5	5				4		5	4		0	0	19	0	0	<	<	0	<	<	3000	<																						0.4
257515	257515	208007038	4	5	4	2	4	2		3	1			4	4				3		4	4		22	31	15	15	18	2	2	0	<	1	11000	<																						0
257516	257516	208007043	4	5	5	4	4	2		5	5			5	3				5		5	2		12	29	64	5	8	2	5	0	5	1	26000	<																						0
257524	257524	208007078	4	5	3	2	5	2		2	3			5	5				2		2	3		9	12	18	3	4	<	<	0	<	<	3000	<																						0.8
257527	257527	208007087																						0	0	0	0	0						0																							0.1
257542	257542	208007212	4	5	5	5	5	3		5	5			5	4				4		5	3		0	0	1	0	0	<	<	0	<	<	1000	<																						0.3
257544	257544	208007217	5	5	5	5	5	4		5	2			5	4				5		5	4		61	87	149	22	28	<	<	0	<	<	89000	<																						0
257545	257545	208007225	5	5	5	5	5	5		5	5	5		5	5				5		5	5		0	0	103	0	0	<	<	0	<	1	16000	<																						0.1
257548	257548	208007231	4	5	5	5	5	4		5	4			5	5				5		5	4		9	21	36	3	7	<	<	0	<	<	3000	<																						0.9
257562	257562	208007413	2	4	3	2	3	2		2	2			2	3				1		2	2		1	2	3	0	1	2	5	<	2	1	1000	<																						0
257564	257564	208007445	4	4	4	2	4	2		4	5			3	2				4		3	2		2	3	5	0	1	<	<	<	<	<	1000	<																						0
257566	257566	208007502	5	5	5	5	5	5		5	5			5	5				5		5	4		11	38	0	3	20	2	5	0	2	2	95000	<																						0.7
257578	257578	208007586	4	4	3	2	4	2		3	2			4	5				3		3	4		0	0	2	0	0	1	1	<	2	2	1000	<																						0.8
257587	257587	208007701	4	5	5	5	4	2		5	5			5	4				3		4	3		8	19	9	4	5	1	2	<	<	5	10000	<													Yes	Yes		Yes						0
257647	257647	208007814	4	2	3	3	3	2		4	5			4	4				2		3	2		0	0	0	0	0	<	<	0	<	<	1000	<																						1
