level_0	index	SITEID	CLOUD_COMPUTING_PLS	PCS_PLS	DAS_PLS	NAS_PLS	SAN_PLS	COMPLIANCE_PLS	WINDOWS7_ADOPTION_PLS	ASSET_MGMT_SW_PLS	CRM_SW_ILS	DOC_MGMT_SW_ILS	DOC_MGMT_SW_PLS	TABLET_PLS	INFRASTRUCTURE_AS_A_SERVICE_PLS	SURVEILLANCE_PRES	SURVEILLANCE_MANUF	SURVEILLANCE_INIT	DATA_LOSS_PREVENTION_PLS	DIGITAL_SIGNAGE_PLS	MESSAGING_SECURITY_PLS	PLATFORM_AS_A_SERVICE_PLS	SMARTPHONE_PLS	DESKTOP_PRINTERS	NETWORK_PRINTERS	SMARTPHONE_USERS	TABLETS	WORKSTATIONS	ENT_DESKTOP_PRINTERS	ENT_NETWORK_PRINTERS	ENT_SMARTPHONE_USERS	ENT_TABLETS	ENT_WORKSTATIONS	PERIPHERAL_BUDGET	ENT_PERIPHERAL_BUDGET	FILE_PRINT_SERVER_ILS	WEB_SERVER_ILS	APPLICATION_SERVER_ILS	EMAIL_SERVER_ILS	DATABASE_SERVER_ILS	TABLET_ILS	CLOUD_COMPUTING_ILS	DBMS_INIT	MULTIFUNCTION_PRINTER_INIT	IDACCESS_SW_INIT	ROUTER_INIT	VPN_INIT	ERP_CRM_SW_PRES	ERP_ACCOUNTING_SW_PRES	ERP_HUMAN_RES_SW_PRES	ERP_SUPPLY_CHAIN_SW_PRES	ERP_UNSPEC_SW_PRES	ACCOUNTING_SW_INIT	HUMAN_RES_SW_INIT	SUPPLY_CHAIN_SW_INIT	XP_MIGRATION_INIT	REVEN_REVISED
270780	270780	208060315	2	2	3	2	2	2		2	2			2	3				2		2	2		0	0	3	0	0	<	<	0	<	<	1000	<																						0.4
270782	270782	208060325	2	4	2	2	4	2		2	2			3	2				2		2	2		3	4	7	0	1	<	<	0	<	<	1000	<																						0.4
270789	270789	208060342	2	3	3	2	2	2		2	2			2	2				2		2	2		3	3	1	0	0	1	1	0	2	2	1000	<																						0.2
270795	270795	208060356																						0	0	0	0	0						0																							0.3
270798	270798	208060369																						0	0	0	0	0						0																							0.2
270801	270801	208060378	2	2	2	2	2	2		2	2			2	2				2		2	2		3	3	2	0	1	<	<	0	<	<	2000	<																						0.1
270806	270806	208060387	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	2	0	1	<	<	0	<	<	1000	<																						0.4
270807	270807	208060389	3	3	3	3	2	2		3	2			4	3				3		3	3		1	2	1	0	1	<	<	0	<	<	1000	<																						0.7
270812	270812	208060414	2	3	2	2	3	3		2	2			3	3				2		2	2		1	3	6	0	4	5	1	0	<	1	12000	<																						0.2
270822	270822	208060458	2	1	2	2	2	2		2	2			2	2				2		2	2		2	2	2	0	0	<	<	0	<	<	1000	<																						0.9
270828	270828	208060491	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	1	0	0	<	<	0	<	<	1000	<																						0.5
270850	270850	208060629	2	2	3	2	2	2		2	2			2	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.5
270855	270855	208060646	2	2	3	2	2	2		2	2			2	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.7
270856	270856	208060659	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	5	0	1	<	<	0	<	<	1000	<																						0.6
270857	270857	208060661																						0	0	0	0	0						0																							0.6
270862	270862	208060682																						0	0	0	0	0						0																							0.8
270864	270864	208060685	2	2	2	2	2	2		2	2			2	2				2		2	2		5	12	4	1	8	<	<	0	<	<	12000	<																						0.5
270866	270866	208060696	2	2	2	2	2	2		2	2			2	2				2		2	2		3	3	8	1	1	<	<	0	<	<	1000	<																						0.9
270869	270869	208060706	3	4	3	2	3	2		3	2			2	2				3		3	3		1	4	9	0	2	1	2	0	2	1	4000	<																						0
270871	270871	208060716																						0	0	0	0	0						0																							0
270872	270872	208060717	2	2	2	2	2	2		2	2			2	2				2		2	2		3	2	2	0	0	<	<	0	<	<	1000	<																						0.5
270876	270876	208060736	2	2	3	2	2	2		2	2			2	2				2		2	2		2	2	2	0	0	<	<	0	<	1	1000	<																						0
270877	270877	208060741	2	2	2	2	2	2		2	2			2	2				2		2	2		3	4	1	1	1	<	<	0	<	<	1000	<																						0.7
270878	270878	208060743	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.6
270880	270880	208060764	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	1	0	0	<	<	0	<	<	1000	<																						0.3
270882	270882	208060769	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.4
270886	270886	208060781																						0	0	0	0	0						0																							0.6
270889	270889	208060787	3	3	3	3	2	2		3	2			2	3				3		3	3		1	1	2	0	0	<	<	0	<	<	1000	<																						0.3
270897	270897	208060810																						0	0	0	0	0						0																							0.4
270900	270900	208060819	2	1	2	1	2	1		2	2			1	2				1		2	2		2	1	1	0	0	<	<	0	<	<	1000	<																						0
270912	270912	208060870	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	1	0	0	<	<	0	<	<	1000	<																						0
270919	270919	208060921	2	2	2	2	2	2		2	2			2	2				2		2	2		3	0	1	0	0	<	<	0	<	<	1000	<																						0.3
270921	270921	208060944																						0	0	0	0	0						0																							0.4
270924	270924	208060971	2	3	2	2	2	2		2	2			2	2				2		2	2		4	5	4	0	1	<	<	0	<	<	1000	<																						0.4
270926	270926	208060975	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.5
270927	270927	208060976	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	3	0	0	<	<	0	<	<	1000	<																						0.4
270932	270932	208060998	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	2	0	1	<	2	0	<	2	1000	<																						0.8
270940	270940	208061036	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	1	0	0	<	<	0	<	<	1000	<																						0
270943	270943	208061060	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	3	0	1	<	<	0	<	<	1000	<																						0.9
270945	270945	208061068	4	5	4	4	4	3		3	2			4	4				4		4	4		3	4	3	1	1	<	<	0	<	<	1000	<																						0.8
270947	270947	208061079	2	2	2	2	2	2		2	2			2	2				2		2	2		3	2	3	0	1	<	<	0	<	<	1000	<																						0.6
270948	270948	208061086	2	2	2	2	2	2		2	2			2	2				2		2	2		4	1	6	0	0	<	<	0	<	<	1000	<																						0.3
270951	270951	208061108	2	3	3	2	3	2		2	2			3	2				2		2	2		3	5	17	0	4	<	<	0	<	<	2000	<																						0.7
270953	270953	208061120	2	3	3	2	2	2		2	2			2	2				2		2	2		2	5	4	0	3	5	5	<	<	2	4000	<																						0
270955	270955	208061125	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.4
270959	270959	208061134	2	2	2	2	2	2		2	2			2	2				2		2	2		4	5	10	2	1	<	<	0	<	<	2000	<																						0
270964	270964	208061144	2	3	3	2	3	2		2	2			3	2				2		2	2		2	3	7	0	2	<	<	0	<	<	1000	<																						0.5
270965	270965	208061145	2	4	2	2	3	2		2	2			3	2				2		2	2		3	4	12	2	1	<	<	0	<	<	2000	<																						0.3
270973	270973	208061163	2	2	2	2	2	2		2	2			2	2				2		2	2		2	6	5	0	2	<	<	0	<	<	3000	<																						0.3
270979	270979	208061173																						0	0	0	0	0						0																							0.4
270980	270980	208061177	2	2	2	2	2	2		2	2			2	3				2		2	2		2	2	2	0	0	<	<	<	<	<	1000	<																						0.5
270984	270984	208061182	2	2	3	2	2	2		2	2			2	2				2		2	2		2	3	2	0	1	<	<	0	<	<	1000	<																						0
270985	270985	208061186	3	3	3	2	2	2		3	2			2	2				3		3	3		1	2	2	0	1	<	<	0	<	<	1000	<																						0
270986	270986	208061189	2	2	2	2	2	2		2	2			2	2				2		2	2		4	3	6	0	1	<	<	0	<	<	2000	<																						0
270988	270988	208061193	2	2	2	2	2	2		2	2			2	3				1		1	2		3	4	7	0	1	<	<	0	<	<	1000	<																						0.4
271003	271003	208061243	2	3	2	2	2	2		2	2			3	3				2		2	2		2	2	0	0	0	<	<	0	<	<	1000	<																						0.8
271006	271006	208061254	2	2	2	2	2	2		2	2			2	2				2		2	2		0	0	5	0	0	<	<	0	<	<	1000	<																						0.9
271007	271007	208061260	2	3	2	2	2	2		2	2			2	2				2		2	2		3	2	2	0	1	<	<	0	<	<	3000	<																						0.7
271014	271014	208061281	3	3	3	2	3	2		2	2			3	3				2		2	2		3	4	3	1	1	<	<	0	<	<	1000	<																						1
271018	271018	208061295	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.5
271033	271033	208061338	2	2	2	2	2	2		2	2			2	2				2		2	2		3	3	2	0	1	<	<	0	<	<	1000	<																						0.6
271034	271034	208061339	2	2	2	2	2	2		2	2			2	2				2		2	2		2	4	4	0	1	<	<	0	<	<	1000	<																						0
271037	271037	208061342	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	4	0	1	<	<	0	<	<	1000	<																						0.9
271039	271039	208061350	2	3	2	2	2	2		2	2			2	2				2		2	2		2	2	3	0	1	<	<	0	<	<	1000	<																						0.4
271041	271041	208061354																						0	0	0	0	0						0																							0.5
271047	271047	208061370	2	2	2	2	3	2		2	2			2	2				2		2	2		0	0	1	0	0	<	<	0	<	<	1000	<																						0.4
271052	271052	208061378	2	2	2	1	2	2		2	2			2	2				2		2	2		0	0	5	0	0	<	<	<	<	5	2000	<																						0.8
271053	271053	208061379	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	3	0	1	<	<	0	<	<	1000	<																						0.7
271057	271057	208061387	3	3	3	2	3	2		2	2			3	4				2		2	2		0	0	3	0	0	<	<	0	<	5	1000	<																						0.8
271058	271058	208061394	2	1	2	1	2	2		2	2			2	2				2		2	2		4	3	6	0	1	<	<	0	<	<	1000	<																						0.4
271072	271072	208061423	2	2	2	2	2	3		2	2			2	2				2		2	2		2	4	6	0	1	<	<	0	<	<	1000	<																						0.6
271076	271076	208061435	3	2	3	2	2	2		2	2			2	3				2		2	2		0	0	2	0	0	<	<	0	<	<	17000	<																						0.5
271080	271080	208061442																						0	0	0	0	0						0																							0.6
271086	271086	208061474	2	2	2	2	2	2		2	2			2	2				2		2	2		3	3	2	0	1	<	<	0	<	<	4000	<																						0.6
271095	271095	208061490	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	2	0	1	<	<	0	<	<	1000	<																						0
271096	271096	208061495																						0	0	0	0	0						0																							0.7
271100	271100	208061503	3	3	3	2	2	2		3	2			4	4				1		2	3		1	2	1	0	1	5	1	0	<	2	1000	<																						0.8
271101	271101	208061506	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	1	0	0	<	<	0	<	<	1000	<																						0.5
271102	271102	208061507	2	2	2	2	2	2		2	2			3	2				2		2	2		0	0	4	0	0	<	<	0	<	<	2000	<																						0.5
271105	271105	208061516	2	2	2	2	3	2		2	2			2	2				2		2	2		0	0	2	0	0	<	<	0	<	<	1000	<																						0.9
271106	271106	208061524																						0	0	0	0	0						0																							0.9
271108	271108	208061538	2	2	2	2	2	2		2	2			2	2				2		2	2		2	3	0	0	1	<	<	0	<	<	1000	<																						0.8
271111	271111	208061542																						0	0	0	0	0						0																							0.2
271112	271112	208061543	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.5
271118	271118	208061553	2	2	2	2	3	2		2	2			2	2				2		2	2		4	6	4	1	2	<	<	0	<	<	1000	<																						0.8
271120	271120	208061564	3	5	3	3	5	2		3	2			4	3				3		3	3		2	2	2	0	0	1	2	0	2	1	1000	<																						0.4
271121	271121	208061568	3	2	3	2	2	2		2	2			3	3				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.7
271123	271123	208061571	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	3	0	0	<	<	0	<	<	1000	<																						0.5
271130	271130	208061585	2	3	2	2	2	2		2	2			2	2				2		2	2		3	3	6	1	1	<	<	0	<	<	3000	<																						0.4
271132	271132	208061589	2	2	2	2	2	2		2	2			2	2				2		2	2		2	1	0	0	0	<	<	0	<	<	1000	<																						0
271142	271142	208061641	2	2	3	2	2	2		2	2			2	2				2		2	2		1	2	2	0	0	<	<	0	<	<	1000	<																						0
271145	271145	208061650	2	2	3	2	2	2		2	2			3	2				2		2	2		2	2	1	0	0	<	<	0	<	<	1000	<																						0.5
271146	271146	208061651	2	2	3	2	2	2		2	2			2	2				2		2	2		1	1	3	0	0	5	5	0	1	1	1000	<																						0
271149	271149	208061661	2	2	2	2	2	2		2	2			2	2				2		2	2		2	3	2	0	1	<	<	0	<	<	1000	<																						0
271155	271155	208061684	2	2	3	2	2	2		2	2			2	2				2		2	2		1	2	3	0	1	<	<	0	<	<	1000	<																						0.8
271156	271156	208061685	2	2	2	2	2	2		2	2			2	2				2		2	2		3	2	2	0	1	<	<	0	<	<	2000	<																						0.2
271175	271175	208061752	2	1	2	2	4	4	3	2	1	2		2					3	2	3	1	2	1	2	1	0	0	<	<	0	<	<	1000	<							1															0
271184	271184	208061776	2	2	2	2	2	2		2	2			2	2				2		2	2		4	1	5	0	0	<	<	0	<	<	1000	<																						0.3
271198	271198	208061818	3	4	3	2	3	2		3	2			2	2				3		3	3		1	3	3	0	1	2	1	<	5	2	1000	<																						0
271199	271199	208061819	2	2	2	2	2	2		2	2			3	3				1		1	2		0	0	2	0	0	2	2	<	2	1	2000	<																						0.3
271204	271204	208061837	2	2	2	2	2	2		2	2			2	2				2		2	2		0	0	2	0	0	<	<	0	<	<	1000	<																						0.6
271205	271205	208061839	2	2	2	2	2	2		2	2			2	2				2		2	2		0	0	2	0	0	<	<	0	<	<	1000	<																						0.4
271207	271207	208061844	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	4	0	1	<	<	0	<	<	1000	<																						0.8
271211	271211	208061856	2	4	3	2	3	2		2	2			2	2				2		2	2		5	10	24	0	8	2	5	<	2	2	12000	<																						0
271213	271213	208061859	3	2	3	2	2	2		2	2			3	3				2		2	2		0	0	2	0	0	<	<	0	<	<	17000	<																						0.5
271216	271216	208061867	2	2	2	2	2	2		2	2			2	2				2		2	2		4	3	5	0	1	<	<	0	<	<	2000	<																						0.9
271219	271219	208061872	2	2	2	2	2	2		2	2			2	2				2		2	2		0	0	1	0	0	<	<	0	<	<	1000	<																						0.2
271220	271220	208061875	2	3	2	2	3	2		2	2			3	4				2		2	2		4	5	1	1	1	<	<	0	<	<	1000	<																						0.8
271225	271225	208061882	3	4	3	3	4	2		3	2			4	3				3		3	3		1	4	6	0	1	<	<	0	<	<	2000	<																						0.8
271229	271229	208061899	3	5	3	3	4	2		3	2			3	4				2		3	3		1	4	3	0	1	<	<	0	<	<	1000	<																						0
271232	271232	208061927	2	2	2	2	2	2		2	2			2	2				2		2	2		3	4	1	0	1	<	<	0	<	<	2000	<																						0.4
271233	271233	208061931	2	2	2	2	2	2		2	2			2	2				2		2	2		1	4	1	0	2	<	<	0	<	<	1000	<																						0.9
271236	271236	208061945	2	2	2	2	2	2		2	2			2	2				2		2	2		11	26	42	5	7	<	<	0	<	<	23000	<																						0
271237	271237	208061948	3	3	3	3	2	2		3	2			4	4				2		3	3		0	0	2	0	0	<	<	0	<	<	1000	<																						0.8
271247	271247	208061966	2	2	2	2	2	2		2	2			2	2				2		2	2		2	3	6	1	0	<	<	0	<	<	1000	<																						0.8
271248	271248	208061970																						0	0	0	0	0						0																							0
271250	271250	208061980	2	2	2	2	2	2		2	2			2	2				2		2	2		2	4	2	0	1	<	<	0	<	<	1000	<																						0.8
271253	271253	208061984	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	4	0	1	<	<	0	<	<	1000	<																						0.7
271255	271255	208062005	2	2	2	2	2	2		2	2			2	2				2		2	2		2	2	1	0	0	<	<	0	<	<	1000	<																						0.6
271256	271256	208062008	4	5	4	4	5	3		3	2			5	5				3		4	4		4	5	4	2	1	<	<	0	<	<	1000	<																						0.8
271279	271279	208062061	2	2	3	2	2	2		2	2			3	2				2		2	2		1	0	2	0	0	<	<	0	<	<	8000	<																						0.3
271280	271280	208062062	2	2	3	2	2	2		2	2			3	2				2		2	2		2	4	5	0	2	<	<	0	<	<	2000	<																						0.1
271286	271286	208062075																						0	0	0	0	0						0																							0
271294	271294	208062095	2	2	2	2	2	2		2	2			2	2				2		2	2		2	2	3	0	0	<	<	0	<	<	1000	<																						0.5
271297	271297	208062100	3	5	3	3	5	2		3	2			4	4				1		2	3		5	15	37	0	6	1	1	0	5	2	15000	<																						0.8
271300	271300	208062122	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	3	0	1	<	<	0	<	<	1000	<																						0.5
271306	271306	208062132	2	3	2	2	2	2		2	2			2	2				2		2	2		2	3	4	0	1	<	<	0	<	<	1000	<																						0.4
271307	271307	208062134	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.3
271308	271308	208062135	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	3	0	0	<	<	0	<	<	1000	<																						0.4
271310	271310	208062141	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	3	0	1	<	<	0	<	<	1000	<																						0.7
271314	271314	208062151	2	2	3	2	2	2		2	2			2	2				2		2	2		2	0	2	0	0	2	2	<	<	1	1000	<																						0
271315	271315	208062152	2	2	3	2	2	2		2	2			2	2				2		2	2		2	0	2	0	0	2	2	<	<	1	1000	<																						0
271316	271316	208062153	2	2	3	2	2	2		2	2			2	2				2		2	2		2	0	2	0	0	2	2	<	<	1	1000	<																						0
271322	271322	208062167	3	3	3	2	3	2		2	2			3	4				2		2	2		6	12	12	0	10	<	<	0	<	<	11000	<																						0.8
271330	271330	208062190	2	2	3	2	2	2		2	2			3	2				2		2	2		2	4	6	0	3	<	<	0	<	<	2000	<																						0.6
271340	271340	208062220	2	3	3	2	2	2		2	2			2	2				2		2	2		10	24	22	4	7	<	<	0	<	<	5000	<																						0
271345	271345	208062231	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	2	0	1	<	<	0	<	<	1000	<																						0.5
271358	271358	208062266	2	4	2	2	3	2		2	2			3	3				2		2	2		0	0	6	0	0	2	2	0	<	1	4000	<																						0.6
271363	271363	208062293	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	2	0	1	<	<	0	<	<	1000	<																						0
271365	271365	208062306																						0	0	0	0	0						0																							0.3
271369	271369	208062325																						0	0	0	0	0						0																							0
271375	271375	208062373	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	3	0	0	<	<	0	<	<	1000	<																						0.5
271376	271376	208062383	2	3	2	2	2	2		2	2			2	2				2		2	2		3	3	9	0	1	<	<	0	<	<	1000	<																						0.5
271377	271377	208062386	3	2	3	2	2	2		2	2			3	3				2		2	2		0	0	2	0	0	<	<	0	<	<	1000	<																						0.4
271379	271379	208062407	2	2	2	2	2	2		2	2			2	2				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.4
271388	271388	208062425	3	4	3	2	3	2		2	2			3	3				2		2	2		0	0	2	0	0	<	<	0	<	<	17000	<																						0.1
271393	271393	208062438	2	2	3	2	2	2		2	2			3	2				2		2	2		3	6	7	0	5	<	<	0	<	<	1000	<																						0.9
271395	271395	208062440	3	5	3	3	5	2		3	2			3	4				2		3	3		3	10	22	0	4	<	<	0	<	<	7000	<																						0.4
271401	271401	208062460	2	2	2	2	2	2		2	2			2	2				2		2	2		1	3	1	0	2	<	<	0	<	<	1000	<																						0
271428	271428	208062535	3	4	3	3	4	2		3	2			2	3				3		3	3		1	4	6	0	1	<	<	0	<	<	2000	<																						0.7
271434	271434	208062561	2	1	2	1	2	1		2	2			1	2				1		2	2		2	1	1	0	0	<	<	0	<	<	1000	<																						0
271457	271457	208062616	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	4	0	1	<	<	0	<	<	1000	<																						0
271459	271459	208062622	2	3	3	2	3	2		2	2			3	2				2		2	2		2	4	7	0	2	<	<	0	<	<	2000	<																						0.4
271468	271468	208062645	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	4	0	1	<	<	0	<	<	1000	<																						0
271475	271475	208062660	2	2	2	2	2	2		2	2			2	2				2		2	2		2	5	1	0	1	<	<	0	<	<	1000	<																						0
271478	271478	208062669	3	5	3	3	4	2		3	2			3	4				2		3	3		3	8	19	0	3	<	<	0	<	<	7000	<																						0.1
271479	271479	208062672																						0	0	0	0	0						0																							0.5
271484	271484	208062688	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	1	0	0	<	<	0	<	<	1000	<																						0.7
271486	271486	208062691																						0	0	0	0	0						0																							0.2
271512	271512	208062748	2	3	2	2	3	2		2	2			3	2				2		2	2		2	5	8	0	7	<	<	0	<	<	9000	<																						0.6
271516	271516	208062767	3	4	3	2	3	2		3	2			2	2				2		3	3		2	5	10	0	2	1	2	0	2	1	4000	<																						0
271517	271517	208062770	2	2	2	2	2	2		2	2			2	2				2		2	2		2	2	3	0	0	<	<	0	<	<	1000	<																						1
271518	271518	208062772	4	5	4	4	4	3		3	2			4	5				3		4	4		0	0	3	0	0	<	<	0	<	<	1000	<																						0.1
271519	271519	208062774	2	2	2	2	2	2		2	2			2	2				2		2	2		3	4	17	0	1	<	<	0	<	<	5000	<																						0.1
271530	271530	208062811	2	2	2	2	2	2		2	2			2	2				2		2	2		1	2	0	0	0	<	<	0	<	<	1000	<																						0.3
271533	271533	208062816																						0	0	0	0	0						0																							0.6
271539	271539	208062838	2	3	2	2	3	2		2	2			3	2				2		2	2		1	3	9	0	2	<	<	0	<	<	1000	<																						0.6
271545	271545	208062856	2	3	3	2	2	2		2	2			3	3				2		2	2		0	0	2	0	0	1	1	<	5	2	1000	<																						0.9
271550	271550	208062872	2	2	2	2	2	2		2	2			2	2				2		2	2		2	2	2	0	0	<	<	0	<	<	1000	<																						0.6
271553	271553	208062875	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	3	0	0	<	<	0	<	<	1000	<																						0.3
271556	271556	208062882	2	3	3	2	3	2		2	2			3	2				2		2	2		3	6	14	0	4	<	<	0	<	<	5000	<																						0.5
271558	271558	208062893	2	2	3	2	2	2		2	2			2	2				2		2	2		2	2	2	0	0	1	2	0	2	1	1000	<																						0.9
271563	271563	208062909	2	1	2	1	2	2		2	2			1	2				1		1	2		2	2	2	0	1	2	2	<	<	1	1000	<																						0
271564	271564	208062911	2	2	2	2	2	2		2	2			2	2				1		1	2		2	2	2	0	0	1	2	<	2	1	1000	<																						0
271568	271568	208062916	3	2	3	2	2	2		2	2			3	3				2		2	2		0	0	2	0	0	<	<	0	<	<	17000	<																						0.6
271570	271570	208062919	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	2	0	0	<	<	0	<	<	1000	<																						0.7
271571	271571	208062925	3	2	3	2	2	2		2	2			3	3				2		2	2		1	1	2	0	0	<	<	0	<	<	25000	<																						0.3
271574	271574	208062928	3	4	3	2	3	2		3	2			2	2				2		3	3		1	3	3	0	1	<	<	0	<	<	1000	<																						0
271589	271589	208062971	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	3	0	1	<	<	0	<	<	1000	<																						0.8
271591	271591	208062973	2	2	3	2	2	2		2	2			3	2				2		2	2		1	1	3	0	0	<	<	0	<	<	1000	<																						0.3
271593	271593	208062976	2	1	2	2	2	2		2	2			2	2				2		2	2		3	2	3	0	1	<	<	0	<	<	1000	<																						0.6
271597	271597	208062987	3	4	3	2	3	2		3	2			2	2				3		3	3		4	9	0	0	7	<	<	0	<	<	12000	<																						0
271601	271601	208062994	2	3	3	2	2	2		2	2			2	2				2		2	2		11	25	44	3	18	<	2	0	<	1	32000	<																						0
271605	271605	208063008	3	2	3	2	2	2		2	2			2	3				2		2	2		1	0	2	0	0	<	<	0	<	<	1000	<																						0.6
271608	271608	208063011	3	2	3	2	2	2		2	2			3	3				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.3
271610	271610	208063014	3	2	3	2	2	2		2	2			3	3				2		2	2		0	0	2	0	0	<	<	0	<	<	17000	<																						0.8
271618	271618	208063027	3	3	3	2	2	2		3	2			2	2				2		3	3		1	1	3	0	0	2	1	<	5	2	1000	<																						0
271625	271625	208063047	3	3	3	2	2	2		3	2			2	2				2		3	3		1	1	3	0	0	1	5	0	2	1	1000	<																						0
271630	271630	208063053	3	4	3	2	3	2		3	2			2	2				2		3	3		1	3	3	0	1	1	5	<	<	1	1000	<																						0
271640	271640	208063066	3	3	3	2	2	2		3	2			2	2				3		3	3		1	1	3	0	0	<	2	0	<	1	1000	<																						0
271641	271641	208063069	2	5	2	2	5	2		2	2			4	3				2		2	2		7	21	22	3	20	5	1	0	<	1	130000	<																						0.3
271643	271643	208063073	3	2	3	2	2	2		2	2			3	3				2		2	2		0	0	2	0	0	<	<	0	<	<	25000	<																						0.3
271650	271650	208063098	3	2	3	2	2	2		2	2			3	3				2		2	2		1	1	2	0	0	<	<	0	<	<	1000	<																						0.8
271654	271654	208063116	2	2	3	2	2	2		2	2			2	2				2		2	2		3	2	2	0	0	<	<	0	<	<	1000	<																						0.4
271666	271666	208063150																						0	0	0	0	0						0																							0
271671	271671	208063155	2	3	3	2	2	2		2	2			2	2				2		2	2		420	845	2	77	243	1	2	0	2	1	140000	<																						0.2
271679	271679	208063188	2	3	3	2	2	2		2	2			2	2				2		2	2		294	721	151	70	146	1	2	0	2	5	250000	<																						0
271680	271680	208063191	2	2	2	2	2	2		2	2			3	2				2		2	2		1	2	3	0	1	<	<	0	<	<	1000	<																						0.5
271683	271683	208063196	2	4	3	2	3	2		2	2			2	2				2		2	2		2	4	20	0	2	1	1	0	2	2	6000	<																						0
271688	271688	208063211	2	3	3	2	2	2		2	2			2	2				2		2	2		13	18	10	7	8	<	<	0	<	<	3000	<																						0
271691	271691	208063216	2	2	3	2	2	2		2	2			2	2				2		2	2		1	1	3	0	0	<	<	0	<	<	1000	<																						0.5
271693	271693	208063224	3	4	3	3	4	2		3	2			4	3				3		3	3		1	3	3	0	1	<	<	0	<	<	1000	<																						0.6
271697	271697	208063237	2	2	3	2	2	2		2	2			2	2				2		2	2		2	3	5	0	2	<	<	0	<	<	2000	<																						0
271704	271704	208063252	2	3	3	2	2	2		2	2			2	2				2		2	2		3	7	4	1	2	1	1	0	2	2	1000	<																						0
271709	271709	208063259	4	5	4	2	4	2		3	1			4	4				3		4	4		3	3	3	1	1	1	2	0	2	5	1000	<																						0
271711	271711	208063262	2	2	2	2	2	2		2	2			2	2				2		2	2		0	0	3	0	0	<	<	0	<	<	1000	<																						0.6
271713	271713	208063267	2	3	3	2	2	2		2	2			2	2				2		2	2		12	17	0	6	8	<	<	0	<	<	2000	<																						0
271715	271715	208063274	2	2	2	2	2	2		2	2			2	2				2		2	2		2	3	11	0	3	<	<	0	<	<	4000	<																						0.5
271716	271716	208063278	2	1	2	2	2	2		2	2			2	2				2		2	2		0	0	2	0	0	<	<	0	<	<	1000	<																						0.5
271719	271719	208063291	2	2	3	2	2	2		2	2			3	2				2		2	2		1	2	2	0	1	<	<	0	<	<	1000	<																						0.6
271724	271724	208063304	2	2	3	2	2	2		2	2			3	2				2		2	2		2	3	3	0	3	<	<	0	<	<	2000	<																						0.5
271727	271727	208063310	2	2	2	2	2	2		2	2			2	2				2		2	2		2	3	7	1	0	<	<	0	<	<	1000	<																						0.3
271739	271739	208063336																						0	0	0	0	0						0																							1
271747	271747	208063375	2	2	2	2	2	2		2	2			2	2				2		2	2		5	4	15	0	2	<	<	0	<	<	2000	<																						0.6
