level_0	index	SITEID	REF_TYPE	REF_ID
3953	3953	208027880	DUN	202118456
3954	3954	208048762	DUN	209603794
3959	3959	208135833	DUN	258566892
3991	3991	208131346	DUN	253088579
4024	4024	208023943	DUN	200520356
4036	4036	208130728	DUN	245025846
4058	4058	208589130	DUN	201432356
4095	4095	208103697	DUN	253590061
4108	4108	209345955	DUN	245959999
4123	4123	208105440	DUN	243898090
4157	4157	208103638	DUN	251504296
4158	4158	208132706	DUN	254499861
4169	4169	208028879	DUN	202309365
4189	4189	208037769	DUN	205711901
4209	4209	208103173	DUN	245290549
4251	4251	208069221	DUN	247681489
4259	4259	208110236	DUN	202674065
4264	4264	208136431	DUN	259823024
4266	4266	208578572	DUN	
4282	4282	208654557	DUN	200525512
4304	4304	208123309	DUN	240480686
4327	4327	208102145	DUN	254675010
4350	4350	208462582	DUN	202550166
4358	4358	208063995	DUN	243571309
4420	4420	208097571	DUN	243227014
4422	4422	208109909	DUN	202572731
4423	4423	208202557	DUN	248009024
4450	4450	208037584	DUN	205679306
4463	4463	208127421	DUN	243556888
4467	4467	208120384	DUN	251975447
4469	4469	208105239	DUN	243712119
4483	4483	208091757	DUN	258666791
4495	4495	208463077	DUN	201787657
4531	4531	208109535	DUN	202531448
4577	4577	208111614	DUN	203137401
4590	4590	208654518	DUN	209248371
4600	4600	208452650	DUN	240643432
4613	4613	208060065	DUN	242205040
4656	4656	208024089	DUN	200585995
4661	4661	208132888	DUN	254468564
4683	4683	208083828	DUN	254579402
4694	4694	208042975	DUN	207124269
4705	4705	208820293	DUN	240991997
4771	4771	208074902	DUN	250802139
4797	4797	208125248	DUN	241828966
4892	4892	208458564	DUN	251416707
4897	4897	208034009	DUN	203566760
4937	4937	208458643	DUN	251700423
4986	4986	208011559	DUN	245008438
5033	5033	208034878	DUN	205120582
5039	5039	208062669	DUN	243357493
5044	5044	208118625	DUN	251774092
5050	5050	208470741	DUN	202211041
5085	5085	208097762	DUN	243544079
5094	5094	208120367	DUN	247972784
5100	5100	208119681	DUN	247883833
5102	5102	208133208	DUN	254918266
5105	5105	209059233	DUN	
5148	5148	208017235	DUN	201657314
5167	5167	208459274	DUN	252455639
5176	5176	208107979	DUN	200280629
5224	5224	208043390	DUN	207157962
5250	5250	208927959	DUN	247733533
5270	5270	208115437	DUN	207970414
5271	5271	208100734	DUN	248708224
5288	5288	208110150	DUN	202661971
5293	5293	208032608	DUN	203003681
5344	5344	208132287	DUN	253310338
5364	5364	208452792	DUN	240791595
5369	5369	208087157	DUN	256738717
5399	5399	208470777	DUN	203638288
5415	5415	208589793	DUN	205391386
5428	5428	208556731	DUN	203633891
5430	5430	208124274	DUN	240864624
5448	5448	208054191	DUN	240746110
5449	5449	208884393	DUN	
5460	5460	208821086	DUN	201525586
5493	5493	208052063	DUN	240500558
5552	5552	208132219	DUN	253591288
5638	5638	208079031	DUN	252480975
5641	5641	208097088	DUN	241568257
5642	5642	208093879	DUN	259794923
5644	5644	208116929	DUN	209779388
5662	5662	208082953	DUN	254128127
5672	5672	208083748	DUN	254491038
5690	5690	208568194	DUN	244265513
5703	5703	208457545	DUN	248795333
5723	5723	208078841	DUN	252449285
5725	5725	208028527	DUN	202228029
5755	5755	208037357	DUN	205616832
5787	5787	208118296	DUN	246814024
5853	5853	208004257	DUN	205640725
5861	5861	208111076	DUN	202926051
5866	5866	208135325	DUN	258472336
5914	5914	208077997	DUN	252335302
5918	5918	208120018	DUN	247819121
5932	5932	208058930	DUN	242049406
